Code Commune;Nom Commune;Nb -25;Nb 25-64;Nb 65+;Prop -25;Prop 25-64;Prop 65+;Taux Nat 1999-2010;Taux Mort 1999-2010
01096;Chaveyriat;302;501;125;32.5;54;13.5;10.8;5
01098;Chazey-Bons;258;490;164;28.3;53.7;18;7.8;7.9
01099;Chazey-sur-Ain;470;806;188;32.1;55.1;12.8;11.8;11.7
01100;Cheignieu-la-Balme;30;83;44;19.2;52.6;28.2;4.9;7.6
01101;Chevillard;49;95;18;30.2;58.6;11.1;10.6;10.6
01102;Chevroux;334;487;111;35.8;52.2;11.9;15.4;7.6
01103;Chevry;372;744;119;30.2;60.2;9.6;8.8;2.6
01104;Chézery-Forens;135;228;71;31.2;52.6;16.3;11.7;8
01105;Civrieux;486;734;142;35.7;53.9;10.4;11.2;4.2
01106;Cize;51;71;48;29.9;41.9;28.1;11.2;10
01107;Cleyzieu;39;79;17;29.2;58.4;12.4;13.9;8
01108;Coligny;280;545;329;24.3;47.2;28.5;11.5;19.7
01109;Collonges;652;1091;154;34.4;57.5;8.1;11;5.6
01110;Colomieu;20;75;20;17.5;64.9;17.5;13.4;13.4
01111;Conand;30;58;16;29.1;55.3;15.5;16.3;15.2
01112;Condamine;139;221;44;34.4;54.7;10.9;16.2;5.1
01113;Condeissiat;249;388;119;32.9;51.4;15.7;14.8;6.7
01114;Confort;117;267;140;22.4;50.9;26.7;9.3;30.6
01115;Confrançon;377;632;148;32.6;54.6;12.8;13.5;7.2
01116;Contrevoz;155;272;113;28.7;50.4;20.9;10.1;8.6
01117;Conzieu;44;71;20;32.8;52.3;14.8;14.2;13.4
01118;Corbonod;310;621;245;26.3;52.8;20.8;9.7;18.8
01121;Corlier;44;68;13;35.3;54.6;10.1;8.7;5.8
01123;Cormoranche-sur-Saône;321;565;172;30.4;53.4;16.3;10.9;5.3
