Insee - Statistiques locales; ; ; ; ; ; ; ; ; 
Référentiel géographique : France par commune; ; ; ; ; ; ; ; ; 
Code;Libellé;Nb de femmes de 15 à 64 ans par tranche d'âge 2021;Nb d'hommes de 15 à 64 ans par tranche d'âge 2021;Nb d'hommes de 15 à 64 ans par tranche d'âge 2021;Nb d'hommes de 15 à 64 ans par tranche d'âge 2021;Nb d'hommes de 15 à 64 ans par tranche d'âge 2021;Nb de femmes de 15 à 64 ans par tranche d'âge 2021;Nb de femmes de 15 à 64 ans par tranche d'âge 2021;Nb de femmes de 15 à 64 ans par tranche d'âge 2021
31216;Gémil;19;114;17;78;19;115;9;87
31217;Génos;5;16;2;9;5;18;1;13
31218;Gensac-de-Boulogne;10;31;0;16;15;27;1;16
31219;Gensac-sur-Garonne;36;133;19;87;27;131;17;79
31220;Gibel;10;117;13;82;22;111;18;83
31221;Gouaux-de-Larboust;6;14;1;9;4;11;0;5
31222;Gouaux-de-Luchon;2;11;2;7;2;10;2;6
31223;Goudex;4;11;0;8;3;10;0;6
31224;Gourdan-Polignan;94;331;78;163;89;299;36;170
31225;Goutevernisse;13;53;2;33;17;58;4;40
31226;Gouzens;6;28;5;19;4;23;3;14
31227;Goyrans;73;269;51;140;77;257;29;155
31228;Gragnague;150;769;113;484;173;746;99;497
31229;Gratens;53;228;22;161;45;233;36;144
31230;Gratentour;326;1463;211;958;295;1510;232;952
31231;Grazac;57;252;37;156;59;245;39;149
31232;Grenade;463;2777;463;1813;501;2800;447;1890
31233;Grépiac;79;318;48;195;76;323;42;201
31234;Le Grès;18;142;11;109;22;141;15;108
31235;Guran;5;13;1;8;4;14;2;6
31236;Herran;5;21;2;13;6;16;2;9
31237;His;15;74;13;42;19;66;12;39
31238;Huos;40;135;33;68;34;138;16;82
31239;L'Isle-en-Dodon;115;395;69;220;107;426;59;252
31240;Issus;37;206;29;135;42;207;33;137
31241;Izaut-de-l'Hôtel;24;72;15;33;24;86;16;45
31242;Jurvielle;1;6;2;3;2;5;2;3
31243;Juzes;4;20;3;13;4;19;2;13
31244;Juzet-de-Luchon;29;101;11;55;35;102;12;62
31245;Juzet-d'Izaut;22;51;5;24;22;51;5;24
31246;Labarthe-Inard;66;267;37;157;74;259;39;154
31247;Labarthe-Rivière;104;353;70;179;104;357;62;191
31248;Labarthe-sur-Lèze;444;1907;327;1166;414;2024;300;1280
31249;Labastide-Beauvoir;101;389;48;250;91;432;48;283
31250;Labastide-Clermont;52;235;52;138;45;211;32;127
31251;Labastide-Paumès;18;47;5;22;21;43;6;20
31252;Labastide-Saint-Sernin;117;635;100;398;137;612;76;419
31253;Labastidette;196;974;171;619;183;997;147;654
31254;Labège;245;1466;616;646;204;1494;554;694
31255;Labroquère;32;97;9;58;30;101;13;56
31256;Labruyère-Dorsa;14;90;4;67;19;91;13;64
31258;Lacaugne;23;76;12;47;17;80;12;45
31259;Lacroix-Falgarde;127;555;82;355;119;599;91;382
31260;Laffite-Toupière;6;30;7;15;8;29;5;18
31261;Lafitte-Vigordane;69;384;60;253;70;391;68;255
31262;Lagarde;24;146;14;100;33;136;20;93
31263;Lagardelle-sur-Lèze;208;1045;162;672;212;1071;153;710
31264;Lagrâce-Dieu;26;174;21;128;25;181;26;129
31265;Lagraulet-Saint-Nicolas;13;83;7;56;20;81;8;59
31266;Lahage;19;87;7;49;32;67;5;43
31267;Lahitère;4;22;4;10;8;13;0;9
31268;Lalouret-Laffiteau;11;43;6;24;12;37;1;24
31269;Lamasquère;107;539;92;339;108;524;68;349
31270;Landorthe;103;280;42;145;93;288;38;148
31271;Lanta;98;703;108;481;114;711;101;512
31272;Lapeyrère;7;22;1;15;7;16;1;9
31273;Lapeyrouse-Fossat;232;942;160;517;264;949;148;569
31274;Larcan;13;53;6;30;18;54;6;36
31275;Laréole;6;48;8;26;14;43;6;31
31276;Larroque;23;87;14;44;29;75;7;45
31277;Lasserre-Pradère;100;509;62;340;107;502;54;348
31278;Latoue;27;94;12;52;30;80;8;45
31279;Latour;6;24;3;11;9;18;2;10
31280;Latrape;36;157;19;96;41;129;20;74
31281;Launac;93;442;58;290;94;415;52;270
31282;Launaguet;561;2942;539;1882;522;3106;557;1988
31283;Lautignac;25;79;6;43;30;88;12;50
31284;Lauzerville;122;535;96;306;134;537;91;324
31285;Lavalette;58;254;39;155;60;249;27;163
31286;Lavelanet-de-Comminges;42;202;36;120;46;182;31;109
31287;Lavernose-Lacasse;203;1065;161;674;230;1111;165;743
31288;Layrac-sur-Tarn;25;95;12;61;22;79;3;52
31289;Lécussan;17;68;13;38;17;75;6;52
31290;Lège;2;7;1;5;1;6;0;4
31291;Léguevin;600;3198;536;2099;562;3262;493;2169
31292;Lescuns;4;21;2;15;4;22;3;15
31293;Lespinasse;182;1006;161;643;201;980;141;656
31294;Lespiteau;8;23;2;14;8;20;1;12
31295;Lespugue;5;23;3;11;9;22;4;12
31296;Lestelle-de-Saint-Martory;34;131;22;77;32;126;18;74
31297;Lévignac;140;720;115;450;156;693;87;465
31299;Lherm;220;1185;178;791;216;1202;195;787
31300;Lieoux;11;38;3;21;14;36;2;23
31301;Lilhac;13;38;7;24;8;43;6;24
31302;Lodes;24;94;11;59;25;88;10;54
31303;Longages;174;990;172;632;185;1050;176;700
31304;Loubens-Lauragais;35;159;31;103;25;146;19;92
31305;Loudet;17;66;12;33;21;57;8;32
31306;Lourde;8;30;3;18;10;24;1;15
31308;Luscan;2;12;1;6;5;12;3;7
31309;Lussan-Adeilhac;11;64;7;39;17;67;10;45
31310;Lux;22;116;12;77;27;120;16;82
31311;La Magdelaine-sur-Tarn;61;353;66;229;58;406;66;278
31312;Mailholas;6;10;0;4;6;10;0;4
31313;Malvezie;11;31;1;19;11;33;3;20
31314;Mancioux;30;107;11;59;36;111;12;69
31315;Mane;83;261;43;141;76;263;25;154
31316;Marignac;42;141;28;78;35;142;14;86
31317;Marignac-Lasclares;26;149;28;95;27;153;21;106
31318;Marignac-Laspeyres;11;61;14;39;8;59;10;38
31319;Marliac;9;55;10;27;18;38;4;25
31320;Marquefave;74;327;50;190;88;296;34;188
31321;Marsoulas;6;50;9;26;15;39;5;28
31322;Martisserre;4;18;2;10;6;18;2;12
31323;Martres-de-Rivière;39;114;16;69;29;122;15;69
31324;Martres-Tolosane;162;655;118;397;141;701;104;435
31325;Mascarville;19;55;4;28;22;67;10;37
31326;Massabrac;6;31;9;17;6;29;7;17
31327;Mauran;15;70;11;39;20;65;6;44
31328;Mauremont;19;106;19;69;18;105;16;70
31329;Maurens;17;73;10;42;21;67;7;43
31330;Mauressac;31;149;15;110;24;156;28;97
31331;Maureville;13;101;13;66;21;91;14;64
31332;Mauvaisin;21;73;8;41;24;76;6;49
31333;Mauvezin;7;25;2;19;4;21;2;13
31334;Mauzac;89;434;81;268;85;449;82;279
31335;Mayrègne;3;7;0;4;3;7;1;4
31336;Mazères-sur-Salat;53;182;29;108;45;199;26;119
31337;Melles;10;36;0;16;20;20;0;9
31338;Menville;52;260;29;183;47;246;21;172
31339;Mérenvielle;41;153;19;91;43;162;25;96
31340;Mervilla;16;95;16;63;16;78;9;53
31341;Merville;318;2055;348;1356;351;2077;317;1442
31342;Milhas;14;54;13;31;11;58;13;32
31343;Mirambeau;2;12;1;10;1;13;3;8
31344;Miramont-de-Comminges;50;215;41;117;57;207;32;125
31345;Miremont;126;856;126;594;135;832;128;579
31346;Mirepoix-sur-Tarn;59;369;60;246;62;352;44;248
31347;Molas;16;48;7;25;16;49;9;24
31348;Moncaup;6;7;0;2;5;7;0;1
31349;Mondavezan;63;271;30;191;50;278;24;190
31350;Mondilhan;3;19;3;9;7;23;4;16
31351;Mondonville;249;1938;313;1348;277;1964;332;1382
31352;Mondouzil;17;69;18;32;19;69;11;41
31353;Monès;3;27;4;16;7;23;3;17
31354;Monestrol;1;15;2;10;4;13;2;10
31355;Mons;148;607;115;332;160;553;87;318
31356;Montaigut-sur-Save;122;615;85;411;119;603;76;405
31357;Montastruc-de-Salies;27;93;13;58;22;98;13;58
31358;Montastruc-la-Conseillère;232;1109;192;686;232;1191;179;780
31359;Montastruc-Savès;8;19;1;14;5;17;3;7
31360;Montauban-de-Luchon;41;109;17;57;35;136;24;71
31361;Montaut;35;168;17;112;39;159;18;106
31362;Montberaud;11;59;4;37;18;46;7;29
31363;Montbernard;22;62;6;40;16;60;4;34
31364;Montberon;246;966;128;598;240;1027;136;645
31365;Montbrun-Bocage;43;150;24;91;35;168;24;101
31366;Montbrun-Lauragais;67;227;40;118;69;241;36;139
31367;Montclar-de-Comminges;5;18;1;13;5;22;2;16
31368;Montclar-Lauragais;13;78;9;55;13;69;6;50
31369;Mont-de-Galié;4;6;0;2;4;8;0;5
31370;Montégut-Bourjac;9;41;8;24;8;36;1;26
31371;Montégut-Lauragais;37;126;16;75;34;133;16;81
31372;Montespan;47;141;21;74;45;144;16;80
31373;Montesquieu-Guittaut;14;54;12;27;14;56;11;31
31374;Montesquieu-Lauragais;87;337;42;206;89;314;34;193
31375;Montesquieu-Volvestre;247;875;140;501;235;929;126;556
31376;Montgaillard-de-Salies;9;32;2;16;14;32;3;20
31377;Montgaillard-Lauragais;38;228;47;135;46;219;33;148
31378;Montgaillard-sur-Save;4;27;4;15;8;16;1;11
31379;Montgazin;15;51;6;34;11;61;10;36
31380;Montgeard;36;171;30;111;31;175;28;111
31381;Montgiscard;148;799;126;518;155;775;92;535
31382;Montgras;6;32;3;20;9;37;4;27
31383;Montjoire;74;420;74;250;96;379;53;252
31384;Montlaur;104;565;77;377;111;574;81;388
31385;Montmaurin;17;42;3;21;18;43;7;19
31386;Montoulieu-Saint-Bernard;14;55;3;32;20;58;6;37
31387;Montoussin;9;41;7;24;10;36;1;26
31388;Montpitol;23;113;10;61;42;108;11;73
31389;Montrabé;304;1293;212;787;294;1401;219;877
31390;Montréjeau;208;709;132;395;182;777;132;437
31391;Montsaunès;35;139;24;78;37;140;19;87
31392;Mourvilles-Basses;4;25;2;20;3;27;6;17
31393;Mourvilles-Hautes;14;49;4;32;13;51;9;28
31394;Moustajon;9;27;2;13;12;31;3;19
31395;Muret;1624;8143;1609;4908;1626;7535;1413;4498
31396;Nailloux;185;1274;188;913;173;1287;195;907
31397;Nénigan;2;15;0;11;4;9;0;7
31398;Nizan-Gesse;11;27;4;14;8;28;1;15
31399;Noé;212;895;137;567;192;957;127;618
31400;Nogaret;6;30;4;16;10;25;1;17
31401;Noueilles;19;134;23;84;27;124;15;90
31402;Odars;68;295;52;179;65;289;44;178
31403;Ondes;45;296;59;184;53;246;29;172
31404;Oô;7;30;1;17;11;29;4;17
31405;Ore;6;34;3;20;11;33;6;21
31406;Palaminy;56;228;37;133;58;220;20;145
31407;Paulhac;82;405;56;248;101;399;53;264
31408;Payssous;7;19;4;11;4;22;3;11
31409;Péchabou;186;751;111;457;182;798;105;507
31410;Pechbonnieu;326;1526;264;936;325;1557;238;992
31411;Pechbusque;62;277;48;163;66;298;45;191
31412;Péguilhan;26;67;8;37;22;60;5;29
31413;Pelleport;34;171;20;111;40;169;19;117
31414;Peyrissas;7;23;6;11;7;21;3;12
31415;Peyrouzet;7;14;1;8;5;19;1;11
31416;Peyssies;41;200;32;121;48;180;22;118
31417;Pibrac;608;2522;449;1504;568;2663;413;1642
31418;Pin-Balma;82;286;40;171;75;312;57;174
31419;Le Pin-Murelet;20;58;6;33;19;52;5;27
31420;Pinsaguel;217;814;121;510;183;829;108;505
31421;Pins-Justaret;329;1287;262;732;293;1352;226;797
31422;Plagne;7;29;5;16;8;20;1;12
31423;Plagnole;27;107;13;62;32;109;20;62
31424;Plaisance-du-Touch;1469;6076;1076;3631;1369;6591;1036;4086
31425;Le Plan;30;146;23;84;40;122;18;74
31426;Pointis-de-Rivière;64;221;34;125;62;230;33;134
31427;Pointis-Inard;63;274;49;159;67;274;45;167
31428;Polastron;5;17;1;12;4;15;1;9
31429;Pompertuzat;173;743;135;440;169;743;113;457
31430;Ponlat-Taillebourg;41;195;37;116;43;170;18;111
31431;Portet-d'Aspet;6;22;3;10;9;12;0;7
31432;Portet-de-Luchon;3;9;0;8;1;9;1;5
31433;Portet-sur-Garonne;629;2810;522;1706;582;2991;484;1878
31434;Poubeau;5;26;3;16;8;23;3;16
31435;Poucharramet;66;285;40;184;61;291;35;190
31436;Pouy-de-Touges;30;130;22;76;33;147;23;94
31437;Pouze;9;29;1;16;11;26;0;17
31439;Préserville;55;259;45;161;53;261;32;174
31440;Proupiary;9;25;4;16;4;21;4;8
31441;Prunet;12;46;6;27;13;42;3;27
31442;Puydaniel;40;173;19;117;37;179;26;113
31443;Puymaurin;28;92;9;50;33;84;8;48
31444;Puysségur;8;50;11;28;11;44;4;32
31445;Quint-Fonsegrives;397;1669;264;1029;377;1801;287;1117
31446;Ramonville-Saint-Agne;866;4655;1189;2724;743;4910;1201;2842
31447;Razecueillé;0;7;0;3;3;6;1;5
31448;Rebigue;32;153;25;87;41;149;27;90
31449;Régades;9;37;3;24;10;41;9;23
31450;Renneville;36;175;29;111;35;187;30;121
31451;Revel;706;2592;564;1408;619;2716;482;1528
31452;Rieucazé;2;17;3;11;3;14;1;11
31453;Rieumajou;8;45;6;25;14;49;7;34
31454;Rieumes;231;1071;184;662;225;1096;180;685
31455;Rieux-Volvestre;191;739;129;444;166;779;113;475
31456;Riolas;3;17;2;11;4;14;2;9
31457;Roquefort-sur-Garonne;60;238;39;148;51;241;36;146
31458;Roques;279;1666;299;1086;281;1593;250;1063
31459;Roquesérière;60;252;24;173;55;246;17;170
31460;Roquettes;265;1222;198;771;253;1269;188;817
31461;Rouède;16;90;11;53;26;80;9;55
31462;Rouffiac-Tolosan;149;630;104;366;161;629;110;370
31463;Roumens;19;77;15;46;16;80;9;52
31464;Sabonnères;27;108;14;69;25;111;19;65
31465;Saccourvielle;0;6;0;4;2;3;0;3
31466;Saiguède;51;266;45;155;66;257;42;164
31467;Saint-Alban;484;1991;336;1217;437;2053;308;1261
31468;Saint-André;20;78;5;48;26;64;7;37
31469;Saint-Araille;14;48;2;33;13;42;4;24
31470;Saint-Aventin;5;21;1;14;6;14;2;6
31471;Saint-Béat-Lez;26;83;3;57;23;98;17;55
31472;Saint-Bertrand-de-Comminges;18;63;11;32;20;66;5;43
31473;Saint-Cézert;25;143;26;96;21;138;21;92
31474;Saint-Christaud;24;64;8;37;20;66;6;37
31475;Saint-Clar-de-Rivière;99;492;74;333;85;501;73;329
31476;Saint-Élix-le-Château;52;285;41;193;50;279;28;199
31477;Saint-Élix-Séglan;6;15;0;11;4;12;2;4
31478;Saint-Félix-Lauragais;94;375;48;225;102;352;25;233
31479;Saint-Ferréol-de-Comminges;3;17;3;8;6;19;3;13
31480;Sainte-Foy-d'Aigrefeuille;208;818;130;477;211;838;121;509
31481;Sainte-Foy-de-Peyrolières;132;657;98;415;144;648;86;430
31482;Saint-Frajou;14;59;5;40;14;55;5;36
31483;Saint-Gaudens;758;2961;641;1672;648;3361;676;1927
31484;Saint-Geniès-Bellevue;187;748;131;432;185;783;113;483
31485;Saint-Germier;11;42;8;25;9;43;8;24
31486;Saint-Hilaire;84;549;92;374;84;521;60;377
31487;Saint-Ignan;16;64;10;35;18;66;7;43
31488;Saint-Jean;693;3250;509;2112;628;3528;529;2306
31489;Saint-Jean-Lherm;36;134;18;76;41;134;18;80
31490;Saint-Jory;405;2448;450;1526;471;2492;453;1633
31491;Saint-Julia;34;139;18;83;39;129;14;80
31492;Saint-Julien-sur-Garonne;33;172;29;109;34;185;25;127
31493;Saint-Lary-Boujean;9;35;7;19;9;29;2;18
31494;Saint-Laurent;14;49;6;27;17;48;7;28
31495;Saint-Léon;66;446;64;287;95;413;59;288
31496;Sainte-Livrade;23;90;17;46;27;81;9;49
31497;Saint-Loup-Cammas;157;768;156;477;135;765;118;490
31498;Saint-Loup-en-Comminges;1;13;1;6;6;7;1;5
31499;Saint-Lys;609;3000;525;1914;561;3093;474;2009
31500;Saint-Mamet;48;145;21;86;38;148;16;84
31501;Saint-Marcel-Paulel;39;145;14;96;35;151;19;92
31502;Saint-Marcet;30;114;20;54;40;87;12;45
31503;Saint-Martory;56;288;40;181;66;270;37;176
31504;Saint-Médard;19;68;9;39;20;68;12;37
31505;Saint-Michel;22;100;12;63;25;93;10;60
31506;Saint-Orens-de-Gameville;940;4016;704;2469;843;4188;662;2587
31507;Saint-Paul-sur-Save;69;578;86;398;94;541;66;406
31508;Saint-Paul-d'Oueil;2;13;2;8;3;12;0;9
31509;Saint-Pé-d'Ardet;12;52;5;33;14;40;3;25
31510;Saint-Pé-Delbosc;16;37;3;23;11;48;7;25
31511;Saint-Pierre;27;85;20;46;19;77;6;44
31512;Saint-Pierre-de-Lages;44;302;57;186;59;305;54;207
31513;Saint-Plancard;28;97;11;56;30;100;12;60
31514;Saint-Rome;6;13;3;10;0;17;1;10
31515;Saint-Rustice;31;130;13;87;30;125;18;77
31516;Saint-Sauveur;106;649;122;410;118;666;119;441
31517;Saint-Sulpice-sur-Lèze;143;693;102;429;163;711;110;458
31518;Saint-Thomas;45;209;31;129;49;192;30;117
31519;Saint-Vincent;9;58;8;44;6;65;6;50
31520;Sajas;12;34;4;22;7;37;5;20
31521;Saleich;36;103;15;51;37;112;21;55
31522;Salerm;1;15;1;9;4;13;0;12
31523;Salies-du-Salat;127;429;65;259;105;500;78;294
31524;Salles-et-Pratviel;11;42;10;23;9;36;4;21
31525;Salles-sur-Garonne;60;183;15;127;42;205;27;118
31526;La Salvetat-Saint-Gilles;568;2778;438;1802;538;2805;402;1835
31527;La Salvetat-Lauragais;10;40;4;28;8;44;4;30
31528;Saman;12;39;6;29;5;37;3;22
31529;Samouillan;11;33;4;20;9;31;2;18
31530;Sana;26;74;12;46;17;82;8;49
31531;Sarrecave;7;26;5;11;10;15;1;8
31532;Sarremezan;4;27;4;18;5;25;5;16
31533;Saubens;142;739;133;476;130;752;115;494
31534;Saussens;18;64;7;43;14;63;8;37
31535;Sauveterre-de-Comminges;57;198;31;113;54;198;25;116
31536;Saux-et-Pomarède;35;70;5;37;28;79;10;34
31537;Savarthès;15;63;10;37;17;66;12;40
31538;Savères;16;70;10;42;18;63;11;36
31539;Sédeilhac;8;22;3;10;8;19;1;9
31540;Ségreville;13;112;19;82;10;102;11;78
31541;Seilh;242;1152;184;708;260;1114;180;692
31542;Seilhan;14;55;9;33;13;62;11;37
31543;Sénarens;8;29;3;18;8;35;5;22
31544;Sengouagnet;23;53;3;28;22;62;3;36
31545;Sepx;17;55;10;33;13;57;6;34
31546;Seyre;9;43;7;25;10;38;5;23
31547;Seysses;530;3754;751;2480;522;2965;447;1989
31548;Signac;3;16;3;4;9;9;1;4
31549;Sode;1;3;1;1;1;7;2;3
31550;Soueich;44;132;19;75;38;135;12;80
31551;Tarabel;34;180;18;121;41;185;19;132
31552;Terrebasse;14;49;5;29;15;43;4;25
31553;Thil;68;388;60;262;66;365;57;239
31554;Touille;25;68;7;41;20;75;8;41
31555;Toulouse;23418;182050;51838;109535;20677;183867;56038;104411
31556;Les Tourreilles;19;124;18;75;31;113;17;77
31557;Tournefeuille;2037;9091;1656;5592;1842;9600;1497;6066
31558;Toutens;23;134;22;88;23;140;20;98
31559;Trébons-de-Luchon;2;1;0;0;1;2;0;0
31560;Trébons-sur-la-Grasse;28;159;24;101;34;143;21;94
31561;L'Union;898;3148;531;1767;850;3591;635;2059
31562;Urau;12;38;6;20;13;36;6;19
31563;Vacquiers;96;426;68;269;89;419;58;265
31564;Valcabrère;17;35;3;24;9;44;7;21
31565;Valentine;58;255;50;148;57;244;47;139
31566;Vallègue;34;172;37;102;33;156;14;108
31567;Vallesvilles;25;151;24;95;32;122;15;82
31568;Varennes;14;76;12;49;15;90;19;57
31569;Vaudreuille;33;127;17;79;31;133;23;78
31570;Vaux;16;103;20;64;18;88;12;60
31571;Vendine;11;103;22;61;19;86;7;67
31572;Venerque;189;895;173;525;197;867;122;556
31573;Verfeil;222;1205;201;772;232;1178;147;809
31574;Vernet;219;1006;158;647;201;1001;131;652
31575;Vieille-Toulouse;97;326;50;180;96;340;47;196
31576;Vieillevigne;30;120;18;80;22;109;13;67
31577;Vignaux;9;51;3;39;9;46;6;31
31578;Vigoulet-Auzil;84;253;46;132;74;275;46;144
31579;Villariès;49;288;46;177;65;268;33;187
31580;Villate;63;353;60;231;62;385;53;269
31581;Villaudric;89;488;81;309;97;531;93;349
31582;Villefranche-de-Lauragais;260;1424;251;947;226;1526;256;1010
31583;Villematier;86;364;54;212;97;320;26;208
31584;Villemur-sur-Tarn;398;1820;306;1152;362;1820;280;1142
31585;Villeneuve-de-Rivière;121;446;69;262;115;438;52;265
31586;Villeneuve-Lécussan;41;187;28;103;56;166;27;98
31587;Villeneuve-lès-Bouloc;85;531;77;344;110;484;48;351
31588;Villeneuve-Tolosane;629;3024;539;1934;551;3236;527;2081
31589;Villenouvelle;80;449;84;293;72;470;77;313
31590;Binos;4;14;4;6;4;12;1;7
31591;Escoulis;5;26;3;15;8;14;1;8
31592;Larra;100;705;102;502;101;668;86;482
31593;Cazac;12;26;4;14;8;28;2;14
32001;Aignan;57;179;26;93;61;191;25;109
32002;Ansan;2;26;5;13;8;23;1;20
32003;Antras;6;14;2;6;5;12;0;5
32004;Arblade-le-Bas;12;44;4;28;12;40;9;19
32005;Arblade-le-Haut;25;97;7;68;21;99;7;67
32007;Ardizas;14;72;10;46;16;72;8;50
32008;Armentieux;11;15;2;7;6;21;1;10
32009;Armous-et-Cau;9;24;5;8;11;32;7;16
32010;Arrouède;11;26;4;12;11;24;3;11
32012;Aubiet;76;340;40;213;87;332;38;218
32013;Auch;1630;6582;1676;3571;1335;7086;1484;3972
32014;Augnax;11;37;4;24;10;39;2;26
32015;Aujan-Mournède;6;24;5;8;11;21;2;13
32016;Auradé;38;221;28;155;38;213;28;147
32017;Aurensan;8;33;5;20;8;38;6;24
32018;Aurimont;12;64;7;47;10;63;13;38
32019;Auterive;51;145;22;80;43;158;21;86
32020;Aux-Aussat;21;86;19;48;20;67;6;40
32021;Avensac;4;21;5;13;3;20;3;13
32022;Avéron-Bergelle;18;48;3;29;15;47;4;24
32023;Avezan;7;29;8;12;10;26;3;16
32024;Ayguetinte;17;45;6;23;16;40;5;18
32025;Ayzieu;18;53;6;29;18;40;2;20
32026;Bajonnette;11;37;6;20;10;29;3;14
32027;Barcelonne-du-Gers;115;354;67;188;100;381;48;218
32028;Barcugnan;6;26;3;14;9;19;0;13
32029;Barran;56;191;18;112;61;192;18;119
32030;Bars;16;37;6;19;11;43;6;20
32031;Bascous;10;40;4;29;7;48;6;32
32032;Bassoues;33;89;12;45;32;86;12;42
32033;Bazian;4;32;5;18;9;27;6;17
32034;Bazugues;9;21;3;11;7;21;4;9
32035;Beaucaire;27;73;14;38;22;69;7;35
32036;Beaumarchés;55;190;38;100;52;196;32;109
32037;Beaumont;13;40;3;22;15;40;4;23
32038;Beaupuy;14;65;7;47;11;76;14;48
32039;Beccas;8;41;5;21;15;34;3;23
32040;Bédéchan;7;38;6;26;7;34;3;24
32041;Bellegarde;7;36;6;27;4;47;7;33
32042;Belloc-Saint-Clamens;15;36;3;19;13;40;5;19
32043;Belmont;10;38;2;24;12;39;7;22
32044;Béraut;31;92;12;45;35;88;11;46
32045;Berdoues;35;122;17;63;43;118;12;71
32046;Bernède;19;52;6;28;18;51;6;26
32047;Berrac;7;37;8;20;8;25;4;14
32048;Betcave-Aguin;9;22;4;13;5;24;2;13
32049;Bétous;9;21;2;12;7;27;4;14
32050;Betplan;8;25;2;12;11;25;3;14
32051;Bézéril;4;30;6;18;5;32;5;23
32052;Bezolles;16;43;9;21;13;41;4;21
32053;Bézues-Bajon;19;51;8;24;18;48;6;22
32054;Biran;32;117;11;66;40;109;5;72
32055;Bivès;15;35;5;15;16;36;1;20
32056;Blanquefort;3;19;4;10;5;15;3;9
32057;Blaziert;6;33;5;19;9;34;5;23
32058;Blousson-Sérian;4;10;1;3;5;11;0;6
32059;Bonas;8;34;5;19;11;33;2;23
32060;Boucagnères;14;72;10;42;19;67;12;40
32061;Boulaur;9;49;8;33;8;75;5;61
32062;Bourrouillan;20;56;8;32;16;41;2;19
32063;Bouzon-Gellenave;12;48;9;22;18;45;2;32
32064;Bretagne-d'Armagnac;38;129;13;71;45;124;16;71
32065;Le Brouilh-Monbert;14;92;20;52;19;64;12;38
32066;Brugnens;29;66;8;36;22;77;8;40
32067;Cabas-Loumassès;3;13;0;8;5;12;2;7
32068;Cadeilhan;10;39;8;25;7;39;3;26
32069;Cadeillan;10;20;1;12;7;24;2;11
32070;Cahuzac-sur-Adour;16;75;16;45;14;67;11;40
32071;Caillavet;10;54;8;31;15;46;7;28
32072;Callian;5;13;0;9;5;14;0;9
32073;Campagne-d'Armagnac;19;60;13;29;18;56;10;27
32075;Cassaigne;19;59;7;35;17;64;6;39
32076;Castelnau-Barbarens;41;166;22;101;43;158;21;97
32077;Castelnau-d'Anglès;8;16;2;9;6;19;1;10
32078;Castelnau-d'Arbieu;17;93;14;59;20;61;4;40
32079;Castelnau d'Auzan Labarrère;110;320;35;186;99;320;42;168
32080;Castelnau-sur-l'Auvignon;19;40;6;19;15;41;4;18
32081;Castelnavet;10;34;3;17;14;31;3;17
32082;Castéra-Lectourois;25;98;9;53;35;97;12;59
32083;Castéra-Verduzan;75;246;39;135;72;260;28;157
32084;Castéron;2;15;1;9;5;12;2;8
32085;Castet-Arrouy;17;53;7;30;16;55;6;32
32086;Castex;6;19;5;8;6;18;3;9
32087;Castex-d'Armagnac;12;37;3;20;14;40;2;26
32088;Castillon-Debats;29;79;7;50;22;87;10;48
32089;Castillon-Massas;17;67;11;41;15;69;8;43
32090;Castillon-Savès;26;122;18;79;25;104;7;71
32091;Castin;23;113;20;61;33;96;9;65
32092;Catonvielle;5;32;6;17;9;31;7;19
32093;Caumont;11;32;5;16;10;33;4;18
32094;Caupenne-d'Armagnac;46;129;18;67;44;131;18;67
32095;Caussens;61;153;20;81;52;170;29;80
32096;Cazaubon;126;436;59;236;142;433;46;261
32097;Cazaux-d'Anglès;14;29;4;12;13;32;3;15
32098;Cazaux-Savès;5;106;22;74;11;89;15;69
32099;Cazaux-Villecomtal;6;16;0;9;7;17;1;10
32100;Cazeneuve;13;55;9;27;19;48;10;25
32101;Céran;16;69;13;41;15;82;17;49
32102;Cézan;22;61;6;38;17;71;8;41
32103;Chélan;11;52;8;31;14;46;5;31
32104;Clermont-Pouyguillès;15;49;5;30;15;45;5;26
32105;Clermont-Savès;25;133;16;92;26;139;17;97
32106;Cologne;55;253;44;154;54;274;51;167
32107;Condom;490;1649;295;881;473;1677;247;940
32108;Corneillan;7;45;7;32;6;45;6;32
32109;Couloumé-Mondebat;15;51;5;24;21;49;3;31
32110;Courrensan;36;122;18;75;29;121;12;73
32111;Courties;8;17;1;9;7;13;0;5
32112;Crastes;26;73;7;43;24;76;9;42
32113;Cravencères;4;21;0;16;5;17;1;12
32114;Cuélas;7;38;4;20;14;31;2;22
32115;Dému;33;95;9;43;43;89;11;45
32116;Duffort;19;39;8;19;13;39;2;19
32117;Duran;72;244;39;143;62;269;35;162
32118;Durban;15;40;2;23;15;39;3;21
32119;Eauze;331;1117;184;607;327;1088;131;627
32120;Encausse;32;133;20;85;29;129;19;79
32121;Endoufielle;32;166;24;96;45;163;25;105
32122;Esclassan-Labastide;21;100;22;60;18;90;15;54
32123;Escornebœuf;37;168;24;107;36;149;15;96
32124;Espaon;16;58;7;30;21;51;4;31
32125;Espas;10;30;2;15;13;34;5;19
32126;Estampes;16;37;2;16;19;35;0;19
32127;Estang;56;167;14;113;40;176;20;100
32128;Estipouy;28;69;13;33;22;66;6;31
32129;Estramiac;9;42;6;21;14;27;2;16
