Insee - Statistiques locales; ; ; ; ; ; ; ; ; 
Référentiel géographique : France par commune; ; ; ; ; ; ; ; ; 
Code;Libellé;Nb d'hommes de 15 à 64 ans par tranche d'âge 2010;Nb d'hommes de 15 à 64 ans par tranche d'âge 2010;Nb d'hommes de 15 à 64 ans par tranche d'âge 2010;Nb d'hommes de 15 à 64 ans par tranche d'âge 2010;Nb de femmes de 15 à 64 ans par tranche d'âge 2010;Nb de femmes de 15 à 64 ans par tranche d'âge 2010;Nb de femmes de 15 à 64 ans par tranche d'âge 2010;Nb de femmes de 15 à 64 ans par tranche d'âge 2010
26212;Montvendre;364;71;225;69;324;50;216;58
26213;Moras-en-Valloire;192;27;126;39;188;26;131;31
26214;Mornans;23;1;14;8;18;0;10;9
26215;La Motte-Chalancon;120;9;73;38;114;13;68;33
26216;Saint-Jean-de-Galaure;350;73;210;67;345;57;222;66
26217;La Motte-Fanjas;52;5;37;10;50;7;29;14
26218;Mours-Saint-Eusèbe;769;135;456;178;811;124;484;203
26220;Nyons;1746;345;879;521;1938;286;1055;596
26221;Omblèze;17;2;13;2;21;1;12;8
26222;Orcinas;9;0;9;0;8;1;7;0
26223;Oriol-en-Royans;174;29;105;40;165;19;111;35
26224;Ourches;78;9;45;24;76;7;50;19
26225;Parnans;202;20;133;49;188;26;128;34
26226;Le Pègue;126;22;76;28;134;17;84;33
26227;Pelonne;6;0;3;3;5;0;3;2
26228;Pennes-le-Sec;10;0;8;2;9;2;6;1
26229;La Penne-sur-l'Ouvèze;33;7;19;7;33;5;21;7
26231;Peyrins;765;114;457;193;773;103;484;186
26232;Peyrus;211;39;136;35;203;31;138;34
26233;Piégon;85;11;49;24;90;14;52;23
26234;Piégros-la-Clastre;260;37;167;56;274;41;173;60
26235;Pierrelatte;4106;870;2474;761;4055;765;2515;776
26236;Pierrelongue;58;7;38;13;72;10;48;14
26238;Les Pilles;82;13;53;15;88;9;50;29
26239;Plaisians;59;7;42;11;54;8;32;15
26240;Plan-de-Baix;44;4;28;12;30;2;21;7
26241;Le Poët-Célard;38;6;26;5;41;5;26;10
26242;Le Poët-en-Percip;8;1;5;2;5;0;3;2
26243;Le Poët-Laval;290;40;165;85;275;29;175;72
26244;Le Poët-Sigillat;31;3;20;8;36;1;20;15
26245;Pommerol;6;2;4;0;3;0;2;1
26246;Ponet-et-Saint-Auban;33;4;20;9;47;7;24;16
26247;Ponsas;155;23;92;40;146;23;95;29
26248;Pontaix;63;9;44;10;41;5;26;10
26249;Pont-de-Barret;167;15;115;37;183;23;122;37
26250;Pont-de-l'Isère;931;156;552;223;920;125;577;218
26251;Portes-en-Valdaine;125;12;79;33;116;17;74;24
26252;Portes-lès-Valence;2842;513;1789;540;3002;502;1911;589
26253;Poyols;25;1;14;10;22;3;10;9
26254;Pradelle;7;1;4;2;5;0;3;2
26255;Les Prés;7;0;4;3;7;0;2;5
26256;Propiac;35;4;19;12;35;4;21;10
26257;Puygiron;145;22;102;21;125;14;89;22
26258;Puy-Saint-Martin;260;31;174;55;255;37;159;59
26259;Ratières;92;12;57;23;83;14;49;20
26261;Réauville;112;11;79;22;120;14;72;34
26262;Recoubeau-Jansac;85;12;52;21;83;6;53;24
26263;Reilhanette;47;4;27;15;38;3;24;11
26264;Rémuzat;102;22;62;18;107;15;67;25
26266;Rimon-et-Savel;9;1;6;2;6;1;3;2
26267;Rioms;10;3;3;4;9;1;6;2
26268;Rochebaudin;46;10;22;14;42;3;27;12
26269;Rochebrune;19;2;9;8;17;0;10;7
26270;Rochechinard;41;7;23;11;24;2;13;9
26271;La Roche-de-Glun;999;153;621;225;994;129;619;246
26272;Rochefort-en-Valdaine;120;18;65;37;113;17;70;26
26273;Rochefort-Samson;306;39;198;69;319;41;201;77
26274;Rochefourchat;1;0;1;0;0;0;0;0
26275;Rochegude;509;84;317;108;481;63;305;113
26276;Roche-Saint-Secret-Béconne;117;18;68;30;112;16;71;24
26277;La Roche-sur-Grane;54;10;33;11;53;6;37;10
26278;La Roche-sur-le-Buis;112;12;72;27;100;12;66;21
26279;La Rochette-du-Buis;17;1;13;3;16;2;12;2
26281;Romans-sur-Isère;9737;1840;6030;1867;10517;1974;6332;2211
26282;Romeyer;68;9;42;17;73;11;51;11
26283;Rottier;12;2;6;4;7;0;3;4
26284;Roussas;103;12;66;25;107;9;73;26
26285;Rousset-les-Vignes;95;18;54;24;85;7;44;35
26286;Roussieux;6;0;4;2;7;2;3;2
26287;Roynac;149;23;95;31;131;20;87;24
26288;Sahune;110;12;67;31;91;10;60;21
26289;Saillans;321;43;216;62;335;34;222;79
26290;Saint-Agnan-en-Vercors;116;14;83;19;114;10;85;19
26291;Saint-Andéol;14;2;12;0;14;0;11;3
26292;Saint-Auban-sur-l'Ouvèze;60;6;38;16;73;11;48;15
26293;Saint-Avit;89;15;64;10;92;16;65;12
26294;Saint-Bardoux;203;36;117;50;189;29;118;42
26295;Saint-Barthélemy-de-Vals;597;99;372;127;592;100;371;122
26296;Saint-Benoit-en-Diois;8;1;4;3;8;2;4;2
26298;Saint-Christophe-et-le-Laris;131;25;79;27;127;25;78;24
26299;Sainte-Croix;25;2;14;9;30;3;15;11
26300;Saint-Dizier-en-Diois;10;0;8;2;9;1;6;2
26301;Saint-Donat-sur-l'Herbasse;1198;218;739;240;1228;208;781;239
26302;Sainte-Eulalie-en-Royans;171;27;110;34;162;18;110;34
26303;Sainte-Euphémie-sur-Ouvèze;29;5;17;7;22;2;16;4
26304;Saint-Ferréol-Trente-Pas;65;7;40;18;69;6;46;17
26305;Saint-Gervais-sur-Roubion;276;53;172;50;252;37;170;45
26306;Sainte-Jalle;88;13;48;27;76;5;50;21
26307;Saint-Jean-en-Royans;893;150;528;216;869;120;531;217
26308;Saint-Julien-en-Quint;41;5;24;11;37;2;21;14
26309;Saint-Julien-en-Vercors;75;15;41;19;61;8;40;13
26310;Saint-Laurent-d'Onay;43;5;29;8;45;5;33;7
26311;Saint-Laurent-en-Royans;438;69;276;92;405;52;245;108
26312;Saint-Marcel-lès-Sauzet;356;51;205;100;371;53;228;90
26313;Saint-Marcel-lès-Valence;1572;261;1013;298;1639;246;1090;303
26314;Saint-Martin-d'Août;134;21;92;21;119;20;85;14
26315;Saint-Martin-en-Vercors;119;14;80;24;122;13;83;26
26316;Saint-Martin-le-Colonel;57;7;31;19;61;8;37;16
26317;Saint-Maurice-sur-Eygues;213;40;118;55;207;32;126;49
26318;Saint-May;13;1;10;2;14;3;7;4
26319;Saint-Michel-sur-Savasse;187;24;131;32;176;25;125;26
26320;Saint-Nazaire-en-Royans;245;41;153;51;238;47;139;52
26321;Saint-Nazaire-le-Désert;39;1;24;15;47;5;28;15
26322;Saint-Pantaléon-les-Vignes;113;12;67;34;119;9;73;37
26323;Saint-Paul-lès-Romans;579;107;352;121;575;91;360;124
26324;Saint-Paul-Trois-Châteaux;2686;483;1717;487;2857;486;1826;545
26325;Saint-Rambert-d'Albon;1773;314;1125;334;1831;370;1133;328
26326;Saint-Restitut;464;73;293;98;496;80;320;97
26327;Saint-Roman;49;10;30;9;50;3;38;9
26328;Saint-Sauveur-en-Diois;20;5;14;1;13;0;11;2
26329;Saint-Sauveur-Gouvernet;61;9;39;13;51;7;33;11
26330;Saint-Sorlin-en-Valloire;624;103;405;116;623;99;395;129
26331;Saint-Thomas-en-Royans;184;29;119;36;177;25;114;38
26332;Saint-Uze;577;92;363;122;582;77;366;139
26333;Saint-Vallier;1226;249;758;219;1260;264;746;251
26334;Salettes;41;5;26;10;36;5;25;6
26335;Salles-sous-Bois;57;8;31;18;72;7;43;22
26336;Saou;158;19;99;41;162;26;95;42
26337;Saulce-sur-Rhône;568;105;362;101;560;103;361;96
26338;Sauzet;603;97;388;118;605;85;390;130
26339;Savasse;425;64;251;111;418;51;264;104
26340;Séderon;85;10;46;28;81;14;47;19
26341;Serves-sur-Rhône;251;44;149;58;253;43;160;50
26342;Solérieux;109;15;68;26;107;15;69;23
26343;Souspierre;23;2;13;8;21;0;15;6
26344;Soyans;107;11;67;29;107;11;70;27
26345;Suze-la-Rousse;608;102;377;129;632;98;399;135
26346;Suze;82;18;42;23;65;6;43;15
26347;Tain-l'Hermitage;1838;369;1171;298;1890;383;1180;328
26348;Taulignan;507;58;322;127;488;53;323;111
26349;Tersanne;110;15;74;21;92;9;64;18
26350;Teyssières;29;1;17;11;27;0;18;9
26351;Les Tonils;3;0;3;0;6;0;5;1
26352;La Touche;63;10;43;10;59;8;39;12
26353;Les Tourrettes;292;50;194;48;288;42;196;50
26355;Triors;212;32;128;51;165;18;104;42
26356;Truinas;37;6;21;10;34;2;22;10
26357;Tulette;576;113;350;113;582;91;363;128
26358;Upie;458;69;303;86;467;72;307;88
26359;Vachères-en-Quint;9;3;4;2;12;2;8;2
26360;Valaurie;180;29;106;45;163;15;98;50
26361;Valdrôme;44;5;24;15;47;3;30;14
26362;Valence;19855;5018;11616;3221;20650;4598;12079;3972
26363;Valouse;13;4;9;0;18;4;13;1
26364;Vassieux-en-Vercors;108;14;65;29;106;10;73;23
26365;Vaunaveys-la-Rochette;197;24;123;50;189;20;115;54
26367;Venterol;213;33;130;51;206;19;134;53
26368;Vercheny;123;24;74;24;108;11;80;17
26369;Verclause;21;3;14;4;26;4;16;6
26370;Vercoiran;43;4;29;10;34;0;25;9
26371;Véronne;12;0;6;6;12;0;9;3
26372;Vers-sur-Méouge;14;2;7;5;14;3;8;3
26373;Vesc;96;10;65;21;80;10;56;14
26374;Villebois-les-Pins;7;1;3;3;6;0;4;2
26375;Villefranche-le-Château;6;1;4;1;8;0;6;2
26376;Villeperdrix;36;2;18;16;30;2;15;13
26377;Vinsobres;339;58;199;82;351;47;225;78
26378;Volvent;14;2;8;4;12;2;6;4
26379;Granges-les-Beaumont;315;59;205;51;327;57;207;63
26380;Gervans;175;25;117;33;185;38;108;38
26381;Jaillans;269;41;178;50;249;33;178;39
26382;Saint-Vincent-la-Commanderie;145;29;96;21;137;26;90;22
27001;Aclou;92;12;54;26;83;9;44;30
27002;Acon;150;19;91;40;145;19;85;41
27003;Acquigny;517;82;313;122;519;90;314;115
27004;Aigleville;112;21;76;15;109;22;73;14
27005;Ailly;374;47;256;71;348;40;252;56
27006;Aizier;41;4;29;8;36;4;25;7
27008;Alizay;463;94;296;73;472;82;311;79
27009;Ambenay;165;27;103;35;165;28;103;34
27010;Amécourt;60;8;39;13;62;14;36;12
27011;Amfreville-Saint-Amand;392;70;232;90;369;57;219;93
27012;Amfreville-les-Champs;140;17;103;21;142;22;105;16
27013;Amfreville-sous-les-Monts;164;16;108;39;174;34;108;32
27014;Amfreville-sur-Iton;269;39;167;63;249;33;167;49
27015;Andé;354;48;234;72;355;47;237;71
27016;Les Andelys;2526;555;1481;490;2538;506;1510;522
27017;Angerville-la-Campagne;371;58;223;90;389;55;247;88
27018;Appeville-Annebault;305;48;185;71;280;42;172;65
27019;Armentières-sur-Avre;58;8;44;6;56;8;42;6
27020;Arnières-sur-Iton;552;110;321;121;526;74;334;118
27021;Asnières;99;16;66;18;95;7;64;24
27022;Le Val d'Hazey;1631;291;1007;332;1721;280;1098;344
27023;Aulnay-sur-Iton;236;33;146;56;233;30;148;54
27025;Autheuil-Authouillet;281;44;186;52;278;38;187;53
27026;Authevernes;132;24;81;27;116;16;79;21
27027;Les Authieux;98;22;56;20;89;16;53;20
27028;Authou;119;15;83;21;96;14;67;14
27031;Aviron;389;61;224;104;380;56;223;101
27032;Chambois;406;61;267;78;395;53;261;80
27033;Bacquepuis;108;17;69;22;102;7;73;22
27034;Bacqueville;178;30;113;35;169;27;114;28
27035;Bailleul-la-Vallée;36;2;27;8;35;3;21;12
27036;Bâlines;138;22;94;22;139;21;84;34
27037;Barc;345;49;228;68;325;40;226;59
27038;Les Barils;55;7;33;15;61;6;41;14
27039;Barneville-sur-Seine;154;20;102;32;153;19;100;34
27040;Barquet;122;15;80;27;127;22;84;21
27042;Barville;28;7;19;2;28;8;16;4
27043;Les Baux-de-Breteuil;211;30;134;47;204;32;123;49
27044;Les Baux-Sainte-Croix;297;38;168;91;304;33;181;90
27045;Bazincourt-sur-Epte;225;40;131;54;209;27;130;52
27046;Bazoques;60;12;33;15;52;10;30;12
27047;Beaubray;110;19;72;19;90;14;63;13
27048;Beauficel-en-Lyons;57;8;34;15;48;5;25;19
27049;Mesnil-en-Ouche;1444;229;904;310;1439;227;877;336
27050;Beaumontel;224;34;131;60;221;33;129;60
27051;Beaumont-le-Roger;857;172;523;162;938;181;584;173
27052;Le Bec-Hellouin;106;8;65;33;124;6;67;52
27053;Le Bec-Thomas;86;15;48;23;80;9;50;21
27054;Bémécourt;146;23;82;41;132;17;82;32
27055;Bérengeville-la-Campagne;94;18;57;19;95;12;60;23
27056;Bernay;3004;626;1814;565;3487;626;2080;781
27057;Bernienville;93;16;59;18;91;14;60;17
27059;Bernouville;106;24;65;16;108;21;63;23
27061;Berthouville;97;19;63;14;83;10;54;18
27062;Les Monts du Roumois;513;82;307;125;482;60;315;107
27063;Berville-la-Campagne;44;3;32;9;50;6;36;9
27064;Berville-sur-Mer;188;20;121;47;193;23;133;37
27065;Beuzeville;1279;228;796;255;1287;249;798;241
27066;Bézu-la-Forêt;81;16;50;15;80;13;53;14
27067;Bézu-Saint-Éloi;466;72;296;98;462;89;294;79
27068;Bois-Anzeray;50;6;35;9;47;10;29;8
27069;Bois-Arnault;242;36;148;58;233;38;138;57
27070;Frenelles-en-Vexin;559;75;364;120;526;69;356;101
27071;Le Bois-Hellain;75;7;54;14;79;15;51;13
27072;Bois-Jérôme-Saint-Ouen;253;39;150;64;243;35;148;60
27073;Bois-le-Roi;326;53;202;71;326;39;212;75
27074;Boisney;88;6;66;17;85;14;53;18
27075;Bois-Normand-près-Lyre;103;14;62;27;93;9;61;23
27076;Boisset-les-Prévanches;139;16;92;30;145;25;100;19
27077;Boissey-le-Châtel;282;61;175;46;275;47;177;51
27078;La Boissière;90;9;60;21;88;14;59;15
27079;Boissy-Lamberville;103;18;58;27;83;9;53;20
27081;Boncourt;56;10;35;11;62;16;34;12
27082;La Bonneville-sur-Iton;752;138;478;136;768;110;512;146
27083;Bonneville-Aptot;73;9;52;12;76;10;52;14
27085;Flancourt-Crescy-en-Roumois;418;58;273;88;393;54;273;67
27089;Thénouville;324;43;202;79;312;35;190;86
27090;Bosroumois;1130;171;668;290;1122;132;701;289
27091;Bosgouet;190;29;115;47;199;34;121;44
27094;Bosquentin;34;6;22;6;30;3;22;5
27095;Bosrobert;184;23;123;38;187;26;126;35
27096;Les Bottereaux;84;7;66;10;99;16;61;23
27097;Bouafles;236;43;134;58;212;21;138;53
27098;Bouchevilliers;24;7;15;2;26;6;16;4
27099;Le Boulay-Morin;221;29;151;41;231;24;155;52
27100;Boulleville;337;61;229;47;320;43;233;44
27101;Bouquelon;132;17;89;27;130;18;84;28
27102;Bouquetot;348;52;232;63;346;46;237;63
27103;Bourg-Achard;891;152;573;166;912;174;575;163
27104;Bourg-Beaudouin;282;52;183;47;258;50;166;42
27105;Grand Bourgtheroulde;1090;173;673;243;1161;165;723;272
27106;Bournainville-Faverolles;136;24;75;38;129;14;74;41
27107;Bourneville-Sainte-Croix;356;55;235;66;366;58;233;75
27108;Bourth;391;66;243;82;380;62;237;81
27109;Bray;108;15;63;30;96;14;65;17
27110;Brestot;168;21;107;40;149;13;100;36
27111;Bretagnolles;69;8;47;14;60;3;38;18
27112;Breteuil;1315;240;812;263;1349;256;830;263
27113;Brétigny;61;12;36;13;63;13;40;10
27114;Breuilpont;393;60;247;86;384;56;253;75
27115;Breux-sur-Avre;118;20;73;25;117;15;72;30
27116;Brionne;1296;271;762;262;1309;264;764;281
27117;Broglie;338;69;205;64;362;74;215;73
27118;Brosville;212;30;134;48;208;30;146;33
27119;Bueil;475;85;282;108;469;68;291;110
27120;Burey;125;22;84;19;131;27;78;26
27123;Caillouet-Orgeville;158;21;105;32;142;27;90;25
27124;Cailly-sur-Eure;75;9;46;20;70;5;44;21
27125;Calleville;215;35;129;51;222;35;135;52
27126;Campigny;338;46;219;73;331;49;207;75
27127;Canappeville;258;50;156;51;218;39;151;27
27129;Caorches-Saint-Nicolas;173;20;108;45;182;22;112;48
27130;Capelle-les-Grands;126;19;84;23;130;21;87;22
27132;Caugé;297;59;171;67;282;37;184;61
27133;Caumont;339;53;186;100;337;43;202;92
27134;Cauverville-en-Roumois;77;12;55;9;73;7;56;10
27135;Cesseville;141;19;96;26;144;18;104;22
27136;Chaignes;97;15;59;23;88;15;60;13
27137;Chaise-Dieu-du-Theil;70;11;42;17;70;8;46;16
27138;Chamblac;120;22;69;28;111;15;71;25
27139;Chambord;55;6;33;16;51;5;32;14
27140;Chambray;151;23;99;29;159;26;100;33
27141;Champ-Dolent;18;4;11;3;17;3;12;2
27142;Champenard;71;2;57;12;75;10;53;12
27144;Champigny-la-Futelaye;90;15;54;21;72;6;50;16
27146;La Chapelle-Bayvel;97;17;67;14;98;17;63;19
27147;La Chapelle-du-Bois-des-Faulx;181;21;115;45;177;25;112;40
27148;La Chapelle-Gauthier;145;38;88;19;110;16;74;20
27149;La Chapelle-Hareng;27;5;16;6;21;2;11;7
27151;Charleval;581;121;337;123;586;111;347;128
27152;Château-sur-Epte;212;44;133;35;189;27;134;28
27153;Chauvincourt-Provemont;103;19;68;16;118;17;76;26
27154;Chavigny-Bailleul;179;27;115;37;178;36;109;33
27155;Chennebrun;34;4;26;4;35;3;28;4
27156;Chéronvilliers;180;31;100;49;169;26;111;31
27157;Marbois;417;66;279;72;400;62;273;65
27158;Cierrey;243;47;137;58;233;36;140;57
27161;Claville;373;73;230;71;380;59;257;63
27162;Collandres-Quincarnon;67;10;46;10;64;13;42;8
27163;Colletot;60;11;42;7;60;10;36;13
27164;Combon;251;22;185;44;243;29;176;37
27165;Conches-en-Ouche;1431;294;866;272;1586;285;990;311
27167;Condé-sur-Risle;187;27;124;36;182;31;111;40
27168;Connelles;69;12;43;14;65;8;38;19
27169;Conteville;301;37;199;65;285;31;202;52
27170;Cormeilles;335;69;192;75;352;62;201;89
27171;Le Cormier;130;23;76;31;119;16;74;29
27173;Corneville-la-Fouquetière;33;6;21;6;27;3;21;3
27174;Corneville-sur-Risle;425;75;261;89;402;67;257;78
27176;Coudray;77;16;48;13;72;8;57;8
27177;Coudres;178;27;114;37;169;36;107;26
27179;Courbépine;233;31;145;56;225;31;135;58
27180;Courcelles-sur-Seine;583;105;344;134;570;96;350;124
27181;Courdemanche;184;19;114;51;190;29;123;38
27182;Courteilles;55;8;32;15;47;6;29;12
27183;La Couture-Boussey;704;114;459;131;691;107;447;137
27184;Crasville;44;9;27;8;36;4;27;5
27185;Crestot;125;12;96;17;125;15;92;17
27187;Criquebeuf-la-Campagne;79;8;55;16;78;9;56;13
27188;Criquebeuf-sur-Seine;383;47;269;67;376;54;253;69
27189;La Croisille;149;17;95;36;161;28;98;35
27190;Croisy-sur-Eure;71;7;51;13;74;10;49;15
27191;Clef Vallée d'Eure;769;113;488;168;750;95;480;175
27192;Crosville-la-Vieille;186;35;105;46;195;29;121;45
27193;Croth;420;73;275;73;417;68;281;69
27194;Cuverville;87;20;50;17;69;8;49;12
27196;Les Damps;433;66;287;80;393;53;257;83
27198;Mesnils-sur-Iton;1962;407;1228;327;1916;341;1255;320
27199;Dangu;184;32;122;31;191;27;125;40
27200;Dardez;59;10;39;10;50;5;33;12
27201;Daubeuf-la-Campagne;77;7;59;12;74;10;50;14
27202;Daubeuf-près-Vatteville;167;28;98;41;156;17;103;36
27203;Douains;144;20;101;23;148;26;96;26
27204;Doudeauville-en-Vexin;101;20;64;17;97;12;67;18
27205;Douville-sur-Andelle;140;21;90;30;126;18;84;25
27206;Droisy;130;17;84;29;134;23;87;23
27207;Drucourt;198;27;125;46;190;35;108;47
27208;Duranville;54;12;31;11;55;8;35;12
27209;Écaquelon;198;28;135;34;168;20;120;27
27210;Écardenville-la-Campagne;136;11;98;26;135;26;87;22
27212;Écauville;38;8;24;6;34;4;24;6
27213;Vexin-sur-Epte;1992;325;1259;408;1962;304;1281;376
27214;Écouis;221;35;133;53;235;39;143;53
27215;Ecquetot;119;20;75;25;115;11;81;22
27216;Émalleville;186;40;115;31;178;31;122;25
27217;Émanville;182;28;125;28;187;20;139;28
27218;Épaignes;434;67;273;94;455;88;264;103
27219;Épégard;160;21;106;33;168;24;109;35
27220;Épieds;134;20;90;24;111;15;74;22
27222;Épreville-en-Lieuvin;63;8;44;11;65;7;44;13
27224;Épreville-près-le-Neubourg;165;25;110;30;163;18;106;39
27226;Étrépagny;1211;230;713;268;1223;230;708;285
27227;Étréville;205;34;136;36;188;28;126;34
27228;Éturqueraye;88;10;59;18;104;23;61;19
27229;Évreux;15954;3814;9699;2441;17377;4056;10471;2850
27230;Ézy-sur-Eure;1016;165;625;225;1022;176;613;232
27231;Fains;132;19;79;34;125;13;75;38
27232;Farceaux;92;13;60;19;87;15;60;12
27233;Fatouville-Grestain;251;33;163;54;230;29;153;48
27234;Fauville;102;19;64;20;98;20;58;21
27235;Faverolles-la-Campagne;46;4;33;9;48;6;32;10
27237;Le Favril;57;8;35;14;60;11;36;13
27238;Ferrières-Haut-Clocher;347;51;239;57;347;45;249;53
27239;Ferrières-Saint-Hilaire;141;21;79;41;132;11;75;46
27240;La Ferrière-sur-Risle;74;13;44;17;69;11;41;18
27241;Feuguerolles;69;12;43;15;55;5;42;8
27242;Le Fidelaire;308;42;190;77;297;38;202;58
27243;Fiquefleur-Équainville;208;32;128;48;196;24;128;44
27245;Fleury-la-Forêt;91;14;54;23;88;17;51;20
27246;Fleury-sur-Andelle;594;121;366;107;607;116;349;141
27247;Flipou;125;16;78;31;114;14;73;27
27248;Folleville;58;7;38;14;57;6;34;17
27249;Fontaine-Bellenger;352;47;230;74;343;40;228;75
27251;Fontaine-l'Abbé;194;36;117;40;180;18;116;45
27252;Fontaine-la-Louvet;105;20;67;17;96;17;59;19
27254;Fontaine-sous-Jouy;257;38;164;55;253;34;158;61
27256;La Forêt-du-Parc;187;34;124;29;175;30;118;27
27258;Fort-Moville;132;18;84;30;128;19;79;30
27259;Foucrainville;26;3;19;3;23;3;17;3
27260;Foulbec;172;22;108;41;172;23;116;33
27261;Fouqueville;145;16;84;45;146;16;90;40
27263;Le Perrey;412;79;244;89;370;48;234;87
27266;Franqueville;101;14;70;17;99;15;61;23
27267;Freneuse-sur-Risle;116;24;63;28;103;12;65;26
27269;Fresne-Cauverville;60;4;36;20;63;6;39;18
27271;Fresney;100;13;63;24;91;16;62;13
27273;Gadencourt;129;22;76;31;137;23;85;29
27275;Gaillon;2413;546;1458;409;2493;587;1504;402
27276;Gamaches-en-Vexin;115;22;69;23;106;14;72;19
27277;La Baronnie;249;46;155;47;232;32;164;35
27278;Garennes-sur-Eure;593;102;375;116;569;74;377;118
27279;Gasny;951;169;568;214;975;150;599;225
27280;Gauciel;442;160;265;17;201;50;122;29
27281;Gaudreville-la-Rivière;88;16;57;16;85;12;60;12
27282;Gauville-la-Campagne;172;35;87;50;167;20;99;48
27284;Gisors;3532;762;2148;622;3676;755;2161;759
27285;Giverny;157;29;77;51;156;16;90;50
27286;Giverville;95;10;61;24;95;9;62;24
27287;Glisolles;317;52;198;67;291;44;193;53
27288;Glos-sur-Risle;150;34;88;28;144;20;95;29
27289;La Goulafrière;55;10;29;16;48;7;28;13
27290;Goupil-Othon;371;50;236;85;368;50;233;85
27291;Gournay-le-Guérin;45;7;27;10;42;9;27;6
27294;Val d'Orger;327;42;209;76;315;48;203;64
27295;Grand-Camp;136;18;82;36;144;19;83;42
27298;Graveron-Sémerville;102;19;71;12;104;17;71;16
27299;Gravigny;1306;281;827;198;1407;303;890;214
27300;Grosley-sur-Risle;155;21;101;33;161;27;96;38
27301;Grossœuvre;341;52;201;88;349;43;194;112
27302;Le Bosc du Theil;413;50;258;105;384;40;250;94
27304;Guerny;59;17;31;11;53;9;32;12
27306;Guichainville;840;132;500;208;859;126;525;207
27307;Guiseniers;140;22;87;32;135;15;96;25
27309;L'Habit;189;27;119;43;165;15;107;44
27310;Hacqueville;161;36;93;32;158;32;94;33
27311;Harcourt;256;35;159;62;246;36;147;64
27312;Hardencourt-Cocherel;97;11;66;20;92;15;63;14
27313;La Harengère;182;29;113;40;165;18;115;32
27315;Harquency;83;11;54;18;102;19;66;17
27316;Hauville;431;70;265;95;430;60;281;88
27317;La Haye-Aubrée;139;22;87;30;137;19;89;29
27318;La Haye-de-Calleville;97;16;63;18;103;23;65;16
27319;La Haye-de-Routot;93;13;52;28;99;17;55;27
27320;La Haye-du-Theil;91;18;56;16;80;10;57;13
27321;La Haye-le-Comte;42;4;28;11;48;7;30;11
27322;La Haye-Malherbe;520;83;325;113;494;70;320;103
27323;La Haye-Saint-Sylvestre;75;8;51;15;68;11;42;14
27324;Hébécourt;190;24;126;39;198;30;141;26
27325;Hecmanville;46;6;33;7;43;4;30;9
27326;Hécourt;118;18;74;26;108;11;75;22
27327;Hectomare;72;12;52;8;76;13;46;17
27329;Hennezis;279;41;173;65;258;33;174;51
27330;Herqueville;44;2;34;8;43;5;30;8
27331;Heubécourt-Haricourt;156;21;99;36;150;21;92;37
27332;Heudebouville;276;43;174;58;274;54;158;61
27333;Heudicourt;235;42;142;51;210;26;140;44
27334;Heudreville-en-Lieuvin;41;10;20;11;34;7;22;5
27335;Heudreville-sur-Eure;348;58;219;71;320;46;212;62
27336;La Heunière;82;11;56;15;83;12;51;20
27337;Heuqueville;137;28;78;31;135;21;87;27
27338;Les Hogues;223;32;142;48;217;32;144;40
27339;Hondouville;265;36;176;53;257;34;170;54
27340;Honguemare-Guenouville;218;35;123;59;200;19;133;48
27341;L'Hosmes;26;2;16;8;25;4;13;8
27342;Houetteville;76;19;52;5;75;10;57;8
27343;Houlbec-Cocherel;468;72;278;118;449;47;281;121
27345;La Houssaye;66;10;38;18;62;5;34;22
27346;Houville-en-Vexin;73;11;43;19;66;8;47;11
27347;Huest;216;32;135;49;203;22;135;46
27348;Igoville;533;86;324;123;524;69;340;114
27349;Illeville-sur-Montfort;299;41;196;62;285;38;194;53
27350;Illiers-l'Évêque;296;47;174;74;307;46;189;71
27351;Incarville;409;70;242;98;457;72;273;113
27353;Irreville;164;31;104;28;142;26;95;21
27354;Iville;166;35;101;29;150;15;102;32
27355;Ivry-la-Bataille;791;135;492;164;782;151;473;159
27358;Jouy-sur-Eure;199;31;116;52;195;31;113;51
27359;Juignettes;79;19;46;13;75;16;42;16
27360;Jumelles;104;16;68;20;98;12;66;20
27361;La Lande-Saint-Léger;90;11;58;21;97;15;67;15
27363;Le Landin;66;11;39;17;56;6;35;16
27364;Launay;75;11;47;18;84;19;53;12
27365;Léry;698;148;408;141;723;153;444;126
27366;Letteguives;71;16;41;14;65;9;43;13
27367;Lieurey;392;66;230;97;422;62;252;109
27368;Lignerolles;95;15;61;19;91;9;59;23
27369;Lilly;20;2;12;6;20;3;13;4
27370;Lisors;120;26;75;19;105;19;67;19
27371;Livet-sur-Authou;57;8;33;15;49;7;29;12
27372;Longchamps;205;36;129;41;210;40;133;38
27373;Lorleau;48;11;25;12;44;9;24;11
27374;Louversey;186;27;121;38;179;18;125;36
27375;Louviers;5563;1201;3484;878;5770;1188;3497;1085
27376;Louye;76;11;45;19;70;10;43;17
27377;Lyons-la-Forêt;253;46;152;56;216;34;131;52
27378;La Madeleine-de-Nonancourt;395;70;230;95;409;56;266;88
27379;Mainneville;146;21;100;25;143;19;93;31
27380;Malleville-sur-le-Bec;81;9;49;23;76;10;47;19
27381;Malouy;41;3;24;14;43;5;24;14
27382;Mandeville;96;11;58;28;103;9;63;31
27383;Mandres;124;16;63;46;115;14;66;36
27384;Manneville-la-Raoult;162;26;107;30;166;23;107;36
