Insee - Statistiques locales; ; ; ; ; ; ; ; ; 
Référentiel géographique : France par commune; ; ; ; ; ; ; ; ; 
Code;Libellé;Nb d'hommes de 15 à 64 ans par tranche d'âge 2010;Nb d'hommes de 15 à 64 ans par tranche d'âge 2010;Nb d'hommes de 15 à 64 ans par tranche d'âge 2010;Nb d'hommes de 15 à 64 ans par tranche d'âge 2010;Nb de femmes de 15 à 64 ans par tranche d'âge 2010;Nb de femmes de 15 à 64 ans par tranche d'âge 2010;Nb de femmes de 15 à 64 ans par tranche d'âge 2010;Nb de femmes de 15 à 64 ans par tranche d'âge 2010
01123;Cormoranche-sur-Saône;335;50;215;71;338;59;203;77
01124;Cormoz;216;39;135;42;166;20;104;42
01125;Corveissiat;198;30;132;35;190;31;131;28
01127;Courmangoux;169;21;111;37;145;9;99;36
01128;Courtes;83;15;49;19;78;14;45;19
01129;Crans;86;15;46;25;89;10;52;27
01130;Bresse Vallons;667;114;432;121;617;77;434;106
01133;Cressin-Rochefort;125;20;79;26;112;19;68;25
01134;Crottet;565;94;346;125;581;97;362;122
01135;Crozet;657;96;444;117;647;95;438;115
01136;Cruzilles-lès-Mépillat;268;42;168;58;246;35;174;38
01138;Culoz-Béon;1030;181;646;203;989;153;617;219
01139;Curciat-Dongalon;133;16;86;31;116;12;75;29
01140;Curtafond;225;45;139;40;209;32;140;38
01141;Cuzieu;123;13;82;28;127;14;78;35
01142;Dagneux;1347;270;821;256;1359;229;878;252
01143;Divonne-les-Bains;2577;378;1761;438;2736;348;1874;514
01145;Dompierre-sur-Veyle;404;60;274;70;399;61;270;68
01146;Dompierre-sur-Chalaronne;114;21;70;23;129;23;86;20
01147;Domsure;149;31;87;31;151;18;100;33
01148;Dortan;699;122;416;161;651;93;417;141
01149;Douvres;329;60;196;73;329;53;206;70
01150;Drom;72;17;47;8;66;8;48;10
01151;Druillat;348;48;220;80;338;45;201;92
01152;Échallon;255;29;167;58;233;27;161;44
01153;Échenevex;537;64;352;121;557;71;375;110
01155;Évosges;44;8;29;7;41;5;30;6
01156;Faramans;249;48;160;41;226;40;148;38
01157;Fareins;669;112;400;157;687;113;412;162
01158;Farges;262;31;201;30;284;41;205;38
01159;Feillens;1029;185;642;203;1001;168;651;182
01160;Ferney-Voltaire;2685;449;1829;407;2979;455;2024;500
01162;Flaxieu;17;0;10;6;15;0;9;5
01163;Foissiat;616;109;392;115;565;87;364;114
01165;Francheleins;439;76;285;78;424;53;280;91
01166;Frans;694;153;401;140;666;125;412;130
01167;Garnerans;220;38;146;37;203;20;141;41
01169;Genouilleux;194;32;132;29;197;31;150;16
01170;Béard-Géovreissiat;311;67;207;37;307;55;215;37
01171;Géovreisset;309;47;202;60;298;43;210;45
01173;Gex;3623;613;2571;438;3625;607;2563;455
01174;Giron;58;17;30;11;40;7;28;5
01175;Gorrevod;233;34;151;48;249;28;174;47
01177;Grand-Corent;53;3;34;16;47;4;34;9
01179;Grièges;636;118;395;123;598;84;390;124
01180;Grilly;232;30;155;47;267;34;175;58
01181;Groissiat;390;65;256;68;369;43;253;73
01183;Guéreins;426;71;272;83;414;72;258;83
