Insee - Statistiques locales; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Référentiel géographique : France par commune; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Code;Libellé;Taux de natalité annuel moyen 2015-2021;Taux de mortalité annuel moyen 2015-2021;Part des pers. âgées de - 15 ans 2021;Nb de pers. âgées de - de 25 ans 2021;Part des pers. âgées de - de 25 ans 2021;Nb de pers. âgées de 25 à 64 ans 2021;Part des pers. âgées de 25 à 64 ans 2021;Nb de pers. âgées de 65 ans ou + 2021;Part des pers. âgées de 65 ans ou + 2021;Nb de pers. âgées  de 75 ans ou plus 2021;Part des pers. âgées de 75 ans ou + 2021;Nb de pers. âgées de 80 ans ou + 2021;Part des pers. âgées de 80 ans ou + 2021
01062;Bressolles;10.6;4.4;20.9;302;30.9;521;53.3;155;15.8;58;6;31;3.2
01063;Brion;8.6;6.5;17.2;163;28.4;267;46.4;146;25.3;66;11.5;32;5.5
01064;Briord;11.4;6.2;22.1;336;30.5;641;58.3;123;11.2;40;3.6;22;2
01065;Buellas;11.3;5.4;19.1;506;27.3;966;52.2;379;20.5;145;7.8;81;4.4
01066;La Burbanche;8.3;14.5;20.2;28;29.2;51;53.9;16;16.9;5;5.6;2;2.2
01067;Ceignes;11;11;18.9;77;29.6;160;61.2;24;9.2;8;3.1;3;1.1
01068;Cerdon;9.5;21.8;15.8;201;26.5;379;49.7;181;23.8;101;13.3;81;10.7
01069;Certines;11.9;4.7;17.3;428;28.4;850;56.5;227;15.1;66;4.4;40;2.7
01071;Cessy;11;2.4;21.9;1676;31.6;3060;57.7;570;10.7;208;3.9;99;1.9
01072;Ceyzériat;8.8;10.3;19.7;951;29;1659;50.5;675;20.6;330;10.1;223;6.8
01073;Ceyzérieu;6.1;8.6;15.7;236;23.8;507;51.1;250;25.2;92;9.3;53;5.3
01074;Chalamont;12.1;13.7;20.3;803;31.4;1260;49.2;496;19.4;257;10;170;6.7
01075;Chaleins;14.6;4.1;20.7;459;32.1;781;54.6;190;13.3;62;4.3;25;1.8
01076;Chaley;11.1;14.8;7.8;16;13.2;68;55;39;31.8;19;15.5;5;3.9
01077;Challes-la-Montagne;14.1;9.7;18.4;48;25.4;84;44.3;57;30.3;16;8.6;10;5.4
01078;Challex;8;11.8;20.8;469;29;867;53.6;283;17.5;150;9.2;107;6.6
01079;Champagne-en-Valromey;6.1;29;19;211;25.6;352;42.7;262;31.7;156;18.8;122;14.8
01080;Champdor-Corcelles;6.1;8.4;20.1;179;27.7;325;50.5;141;21.9;65;10;37;5.8
01081;Champfromier;10.1;8.5;16.8;185;25.7;383;53.4;150;20.9;58;8.1;47;6.5
01082;Chanay;11.6;6.9;23.9;230;37.3;295;47.9;91;14.8;35;5.7;16;2.6
01083;Chaneins;10.7;4.5;21.1;312;31.1;550;54.8;142;14.1;54;5.4;36;3.6
01084;Chanoz-Châtenay;15.2;4.1;25.3;307;33;479;51.4;145;15.5;58;6.3;35;3.8
01085;La Chapelle-du-Châtelard;9.5;5.2;20.1;114;29;212;53.8;68;17.2;26;6.6;13;3.4
01087;Charix;10;7.1;16.8;78;28.1;143;51.3;58;20.6;31;11;17;6.1
01088;Charnoz-sur-Ain;12.5;4;17;251;28;532;59.2;115;12.8;37;4.1;24;2.6
01089;Château-Gaillard;13.3;4.7;24.2;771;33.7;1226;53.6;289;12.7;116;5.1;61;2.7
01090;Châtenay;9.7;8.7;21.3;107;29.7;172;47.8;81;22.5;28;7.7;16;4.6
01092;Châtillon-la-Palud;12.4;5.1;21.2;514;31.2;849;51.5;285;17.3;120;7.3;64;3.9
01093;Châtillon-sur-Chalaronne;7.4;18.3;15;1301;25.7;2298;45.4;1460;28.9;805;15.9;542;10.7
01094;Chavannes-sur-Reyssouze;8.2;10.1;18.3;214;27.9;393;51.3;159;20.8;76;9.9;54;7
01095;Nivigne et Suran;9.4;5.1;17.4;251;30.1;408;49;173;20.8;59;7.1;33;4
01096;Chaveyriat;9.7;6.4;20.5;320;30.9;561;54.2;155;14.9;65;6.3;46;4.5
