Insee - Statistiques locales; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Référentiel géographique : France par commune; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Code;Libellé;Taux de natalité annuel moyen 2015-2021;Taux de mortalité annuel moyen 2015-2021;Part des pers. âgées de - 15 ans 2021;Nb de pers. âgées de - de 25 ans 2021;Part des pers. âgées de - de 25 ans 2021;Nb de pers. âgées de 25 à 64 ans 2021;Part des pers. âgées de 25 à 64 ans 2021;Nb de pers. âgées de 65 ans ou + 2021;Part des pers. âgées de 65 ans ou + 2021;Nb de pers. âgées  de 75 ans ou plus 2021;Part des pers. âgées de 75 ans ou + 2021;Nb de pers. âgées de 80 ans ou + 2021;Part des pers. âgées de 80 ans ou + 2021
30228;Sainte-Anastasie;9;6.8;17.2;482;27.7;920;52.8;340;19.5;140;8;74;4.3
30229;Saint-André-de-Majencoules;6.9;9.1;13.2;122;20.3;299;49.7;180;29.9;73;12.1;43;7.2
30230;Saint-André-de-Roquepertuis;7.2;8.6;13.7;125;21.1;293;49.6;173;29.3;67;11.4;39;6.6
30231;Saint-André-de-Valborgne;5.2;10.8;10.2;64;18;165;46.7;125;35.3;53;15;34;9.5
30232;Saint-André-d'Olérargues;8.1;4.3;17.8;105;23.9;236;53.6;99;22.5;37;8.5;22;4.9
30233;Saint-Bauzély;14.5;7;23.3;223;33.4;357;53.5;88;13.1;37;5.6;25;3.8
30234;Saint-Bénézet;7.7;11.3;18.3;71;24.9;145;50.7;70;24.4;25;8.6;13;4.7
30235;Saint-Bonnet-du-Gard;10.7;5.9;17.1;228;27.3;452;54.2;154;18.5;60;7.2;35;4.2
30236;Saint-Bonnet-de-Salendrinque;8.5;10;16.3;24;20.2;55;45.7;41;34.1;20;17.1;9;7.8
30237;Saint-Brès;8.2;11.5;12.2;124;18.6;335;50.3;207;31;66;10;29;4.3
30238;Saint-Bresson;13.7;16.4;7.6;9;13.6;44;65.2;14;21.2;6;9.1;5;7.6
30239;Sainte-Cécile-d'Andorge;6.5;7.7;14.7;131;23.8;250;45.4;169;30.8;65;11.8;36;6.5
30240;Saint-Césaire-de-Gauzignan;8.7;4.8;18.1;118;30.4;197;50.6;74;19;34;8.7;13;3.4
30241;Saint-Chaptes;8.8;10.4;18.1;563;28.1;1012;50.5;429;21.4;203;10.1;114;5.7
30242;Saint-Christol-de-Rodières;7.1;7.1;6.2;19;11.9;82;51.2;59;36.9;23;14.4;18;11.2
30243;Saint-Christol-lez-Alès;7.9;11.1;14.9;1734;24.4;3356;47.2;2026;28.5;899;12.6;557;7.8
30244;Saint-Clément;10.7;4.2;18;90;25.8;198;56.5;62;17.7;19;5.4;11;3
30245;Saint-Côme-et-Maruéjols;11.5;6.9;16.5;217;27.3;456;57.3;122;15.4;40;5;30;3.8
30246;Sainte-Croix-de-Caderle;1.5;10.4;12.8;17;16.5;51;48.6;37;34.8;9;8.3;8;7.3
30247;Saint-Denis;10.3;8;18.4;79;27;145;49.4;69;23.7;19;6.4;8;2.8
30248;Saint-Dézéry;7.2;4.1;16.2;148;32.2;224;48.6;88;19.2;40;8.7;17;3.6
30249;Saint-Dionisy;9.6;4.3;18.5;320;29.5;575;53;190;17.5;72;6.6;32;2.9
30250;Saint-Étienne-de-l'Olm;8.4;4.4;15.3;94;23.6;220;55.5;83;20.8;17;4.2;7;1.8
30251;Saint-Étienne-des-Sorts;8.2;8.5;18.6;149;27.6;290;53.9;100;18.6;55;10.3;38;7
30252;Saint-Félix-de-Pallières;6.5;11.6;8.5;31;14.9;94;45.2;82;39.8;39;19;19;9.3
30253;Saint-Florent-sur-Auzonnet;7.1;10.8;14.8;259;21.8;580;48.8;349;29.4;141;11.8;78;6.5
30254;Saint-Geniès-de-Comolas;13.8;6;19.7;600;29.8;1086;54;324;16.1;129;6.4;59;2.9
30255;Saint-Geniès-de-Malgoirès;10.9;8.5;20.1;995;31.9;1570;50.3;554;17.8;261;8.4;163;5.2
30256;Saint-Gervais;12.4;7.5;17.9;195;24.6;420;53;177;22.3;74;9.3;53;6.7
30257;Saint-Gervasy;10.5;6.7;18.9;625;31.3;1022;51.3;347;17.4;128;6.4;77;3.9
30258;Saint-Gilles;13.1;8.9;18.3;4329;30.3;6947;48.7;2989;21;1349;9.5;770;5.4
30259;Saint-Hilaire-de-Brethmas;10.2;11.6;16.7;1205;26.1;2223;48.2;1189;25.7;543;11.8;353;7.7
30260;Saint-Hilaire-d'Ozilhan;12.6;5.4;21.8;323;29.1;573;51.5;215;19.4;82;7.4;47;4.2
30261;Saint-Hippolyte-de-Caton;12.2;8.6;17;61;23.4;137;52.5;63;24;32;12.4;12;4.5
30262;Saint-Hippolyte-de-Montaigu;4.6;6.6;14.5;55;21.9;131;52.5;64;25.6;26;10.4;15;6
30263;Saint-Hippolyte-du-Fort;8.5;13.5;15;883;23.6;1784;47.6;1080;28.8;502;13.4;322;8.6
30264;Saint-Jean-de-Ceyrargues;6;8.1;17.4;47;26.3;92;51.5;39;22.2;18;10.2;12;6.6
30265;Saint-Jean-de-Crieulon;6.7;5.4;15.7;60;24.7;123;50.3;61;25;9;3.7;7;2.7
30266;Saint-Jean-de-Maruéjols-et-Avéjan;5.8;10.8;12.5;166;19.5;391;45.9;295;34.6;135;15.8;82;9.6
30267;Saint-Jean-de-Serres;9.2;7.9;16.7;145;27.4;280;52.9;104;19.7;50;9.4;33;6.2
30268;Saint-Jean-de-Valériscle;8.5;8.7;13.9;147;24.6;300;50.2;151;25.2;65;10.9;44;7.4
30269;Saint-Jean-du-Gard;7.1;17.5;13;541;21.8;1222;49.3;717;28.9;399;16.1;243;9.8
30270;Saint-Jean-du-Pin;7.5;8.2;17.4;407;26.3;769;49.8;368;23.8;126;8.1;67;4.3
30271;Saint-Julien-de-Cassagnas;12.5;7.5;17.2;174;23.9;411;56.7;141;19.4;50;6.9;35;4.9
30272;Saint-Julien-de-la-Nef;16.9;8.4;17.9;37;25.5;63;43.4;45;31;16;11;4;2.8
30273;Saint-Julien-de-Peyrolas;12;6.6;19;403;27.4;752;51.1;315;21.4;114;7.7;45;3.1
30274;Saint-Julien-les-Rosiers;8.5;8.6;17.2;865;25.2;1777;51.7;794;23.1;305;8.9;199;5.8
30275;Saint-Just-et-Vacquières;5.9;6.5;17.6;85;26.3;139;43.1;99;30.6;39;12.2;19;5.9
30276;Saint-Laurent-d'Aigouze;11.6;8.2;16.7;896;24.8;1851;51.2;867;24;368;10.2;180;5
30277;Saint-Laurent-de-Carnols;11.2;5.4;18;119;23;278;53.7;120;23.2;40;7.8;26;5
30278;Saint-Laurent-des-Arbres;12.5;5.3;21;894;30;1577;52.9;510;17.1;196;6.6;111;3.7
30279;Saint-Laurent-la-Vernède;5.9;14.3;13.3;142;20.6;331;48;216;31.4;88;12.8;52;7.6
30280;Saint-Laurent-le-Minier;8;9.9;15.9;87;23.5;199;54.1;82;22.4;36;9.7;21;5.6
30281;Saint-Mamert-du-Gard;8.9;7;19.2;467;28.7;830;50.9;332;20.4;121;7.4;78;4.8
30282;Saint-Marcel-de-Careiret;8.4;5.1;20.4;247;28.3;444;50.7;184;21;81;9.2;47;5.3
30283;Saint-Martial;5.6;10.2;9.8;27;14.4;96;51.3;64;34.4;32;17.1;21;11.2
30284;Saint-Martin-de-Valgalgues;9.6;13.7;16.2;1219;26.5;2193;47.6;1191;25.9;565;12.3;401;8.7
30285;Saint-Maurice-de-Cazevieille;9.6;6.9;17.5;227;30;384;50.6;147;19.4;59;7.8;33;4.4
30286;Saint-Maximin;6.3;8.5;16.3;184;23.2;400;50.4;210;26.4;70;8.8;40;5
30287;Saint-Michel-d'Euzet;8.5;7.9;19.2;167;24.1;344;49.8;180;26.1;80;11.6;46;6.7
30288;Saint-Nazaire;14.8;6.2;19.3;368;28.7;669;52.2;244;19;115;9;74;5.8
30289;Saint-Nazaire-des-Gardies;8.2;2;12.3;19;22.2;46;54.3;20;23.5;11;13.6;7;8.7
30290;Saint-Paulet-de-Caisson;9.3;8.5;16.9;466;25.1;977;52.6;415;22.3;178;9.6;97;5.2
30291;Saint-Paul-la-Coste;6.7;6.7;10.9;69;22;164;52.2;81;25.8;45;14.2;27;8.6
30292;Saint-Pons-la-Calm;11.4;7;18.6;126;26;264;54.5;94;19.5;45;9.3;28;5.8
30293;Saint-Privat-de-Champclos;5.4;10.3;12;70;20.1;164;47.3;113;32.6;47;13.5;32;9.1
30294;Saint-Privat-des-Vieux;7.9;10.4;15.7;1353;24.7;2595;47.3;1534;28;736;13.4;452;8.2
30295;Saint-Quentin-la-Poterie;7.2;17.4;13.7;676;22.2;1417;46.5;952;31.3;434;14.2;301;9.9
30296;Saint-Roman-de-Codières;4;11;15.7;36;22.3;81;50.6;44;27.1;16;9.6;7;4.2
30297;Saint-Sauveur-Camprieu;2.8;7;7.2;28;12.8;90;41.8;98;45.4;45;20.8;21;9.5
30298;Saint-Sébastien-d'Aigrefeuille;5.5;9.7;13.6;109;21.4;249;49;150;29.6;61;11.9;34;6.7
30299;Saint-Siffret;3.1;8.7;11.3;224;20.1;521;46.7;370;33.2;123;11;62;5.6
30300;Saint-Théodorit;8.8;9.1;18.3;157;28.7;269;49;122;22.3;58;10.6;27;4.9
30301;Saint-Victor-des-Oules;1.6;5.3;17.6;72;22.7;158;50;86;27.2;33;10.4;15;4.7
30302;Saint-Victor-la-Coste;11.7;7.6;18.2;604;27.4;1135;51.5;465;21.1;208;9.4;123;5.6
30303;Saint-Victor-de-Malcap;5.4;7.4;14;199;23.8;391;46.8;246;29.5;100;12;49;5.9
30304;Salazac;9.6;13.1;13.5;40;20;119;59;42;21;19;9.6;9;4.4
30305;Salindres;8.4;10.4;18.2;1035;28.4;1767;48.4;846;23.2;394;10.8;233;6.4
30306;Salinelles;9.2;8.3;19;153;27.7;279;50.4;121;21.9;55;10;29;5.3
30307;Les Salles-du-Gardon;8.8;18.4;15.3;602;24.5;1090;44.4;763;31.1;407;16.6;295;12
30308;Sanilhac-Sagriès;6.5;7.9;14;167;20.6;393;48.3;253;31.1;103;12.7;65;8.1
30309;Sardan;8.7;8.7;18.1;91;25.9;198;56.4;63;17.8;21;5.9;9;2.7
30310;Saumane;7.3;11.5;10.9;48;16.5;153;52.8;89;30.7;29;10.1;13;4.6
30311;Sauve;7;13.3;14.3;416;21.6;946;49.2;563;29.2;226;11.7;129;6.7
30312;Sauveterre;10.1;6.4;19.3;578;28.5;1039;51.2;412;20.3;157;7.7;89;4.4
30313;Sauzet;9.6;5.7;19.7;233;29;417;52;152;18.9;66;8.2;36;4.5
30314;Savignargues;4.9;9.1;17.4;64;26.7;120;50.2;55;23.1;25;10.5;19;7.8
30315;Saze;9.9;5.9;17.6;567;27;1098;52.2;439;20.9;149;7.1;84;4
30316;Sénéchas;7.5;10.2;11;31;13;108;44.8;102;42.2;29;12.1;9;3.8
30317;Sernhac;10.8;8.1;19.5;543;30.3;970;54.1;281;15.7;105;5.8;64;3.6
30318;Servas;8.1;5.7;15.9;52;25.1;107;51.7;48;23.2;24;11.6;14;6.8
30319;Serviers-et-Labaume;11.5;7.9;21;182;28.9;318;50.6;129;20.4;47;7.5;27;4.2
30320;Seynes;4.1;11.2;11.7;31;18.9;86;52.2;48;28.9;17;10.6;12;7.2
30321;Sommières;10.6;11.4;18.7;1517;30.1;2414;47.9;1109;22;509;10.1;305;6.1
30322;Soudorgues;9;9.6;10.8;50;18.9;127;47.6;89;33.6;29;10.9;11;4.2
30323;Soustelle;11.8;11.8;14;26;21.5;64;52.9;31;25.6;18;14.9;12;9.9
30324;Souvignargues;9.3;6.7;19;257;28.4;459;50.6;191;21.1;84;9.2;44;4.8
30325;Sumène;8.5;16.1;12.3;259;20;612;47.4;420;32.6;209;16.2;134;10.3
30326;Tavel;12.8;6.8;19.2;561;27.6;1072;52.8;398;19.6;175;8.6;113;5.6
30327;Tharaux;0;3.1;4.7;8;16.3;18;35;25;48.6;11;21;4;7
30328;Théziers;11.7;7.2;17.8;286;27.1;541;51.4;226;21.5;95;9;63;5.9
30329;Thoiras;8.3;11.3;17.1;108;24.4;229;51.8;105;23.9;40;9.2;16;3.7
30330;Tornac;10.9;8.7;16.5;237;25;468;49.4;242;25.6;90;9.5;57;6
30331;Tresques;8.2;7.8;16.1;405;22.4;869;48.2;530;29.4;254;14.1;141;7.8
30332;Trèves;5.4;2.7;12.4;21;19.5;57;52.2;31;28.3;14;12.4;6;5.3
30333;Uchaud;11.2;7;18.1;1409;29.6;2399;50.4;952;20;422;8.9;282;5.9
30334;Uzès;7;15.9;12.3;1796;21.4;3582;42.7;3001;35.8;1527;18.2;1006;12
30335;Vabres;8.4;8.4;19.2;35;24.6;76;53.8;30;21.5;13;9.2;9;6.2
30336;Vallabrègues;10.4;6.4;17.8;356;25.9;717;52.1;303;22;125;9.1;77;5.6
30337;Vallabrix;10;5.6;18;101;24.4;226;54.5;88;21.2;34;8.3;18;4.4
30338;Vallérargues;3.7;9.8;15.2;37;27.3;66;49.2;32;23.5;10;7.6;6;4.5
30339;Val-d'Aigoual;5.5;15.8;12.9;263;18.5;659;46.5;496;35;232;16.4;142;10
30340;Valliguières;9.8;4.8;17.6;188;29.7;349;55.3;95;15;32;5.1;18;2.8
30341;Vauvert;10.7;9.6;16.9;3175;27;5731;48.7;2868;24.4;1279;10.9;763;6.5
30342;Vénéjan;10.8;5.7;17;309;24.4;708;56;247;19.5;105;8.3;53;4.2
30343;Verfeuil;6.3;13.2;15.5;133;22.2;303;50.8;161;27;72;12;49;8.2
30344;Vergèze;12;9.2;19.6;1700;30.2;2822;50.2;1099;19.6;528;9.4;331;5.9
30345;La Vernarède;6.9;17.9;11.5;60;17.2;176;50.3;114;32.5;46;13.3;35;9.9
30346;Vers-Pont-du-Gard;8.1;7.5;16.6;442;24.9;913;51.5;417;23.5;167;9.4;95;5.4
30347;Vestric-et-Candiac;11.3;6.6;18.4;382;28.4;713;53.1;248;18.5;88;6.5;57;4.3
30348;Vézénobres;8.8;9.6;18.1;505;27.5;912;49.6;420;22.9;190;10.3;98;5.3
30349;Vic-le-Fesq;14.6;6.4;20.6;185;32.5;303;53.1;82;14.4;29;5.1;17;2.9
30350;Le Vigan;7.5;21;13.7;848;22.9;1768;47.7;1090;29.4;549;14.8;375;10.1
30351;Villeneuve-lès-Avignon;7.4;10.7;14.5;2819;22.3;5948;47.1;3850;30.5;1985;15.7;1215;9.6
30352;Villevieille;7.5;8.9;15.5;447;24.3;856;46.5;539;29.3;246;13.3;153;8.3
30353;Vissec;8.3;2.8;10.4;13;19.4;38;56.7;16;23.9;5;7.5;2;3
30354;Montagnac;9.1;8.3;19.1;60;27.6;122;56.4;35;16;14;6.3;4;2
30355;Saint-Paul-les-Fonts;11.9;18.2;19.7;282;27.1;529;50.9;227;21.9;109;10.5;86;8.3
30356;Rodilhan;10;7.4;16.4;779;27.6;1355;48;687;24.4;338;12;216;7.6
31001;Agassac;7.2;15.8;12.8;24;20.5;63;53;32;26.5;7;6;2;1.7
31002;Aignes;10.2;2.7;14.5;55;22.9;118;49.5;66;27.6;24;10;15;6.5
31003;Aigrefeuille;10.6;1.3;20.6;410;32.1;765;59.7;105;8.2;31;2.4;16;1.2
31004;Ayguesvives;9.5;4.5;21.3;886;32.1;1476;53.4;402;14.5;155;5.6;84;3
31005;Alan;7.6;6.5;17.1;68;23.6;138;48.3;81;28.1;27;9.4;16;5.6
31006;Albiac;7.8;7;17.7;69;30.1;127;55.8;32;14.2;21;9.3;13;5.8
31007;Ambax;10.4;15.6;12.3;9;15.8;29;49.1;21;35.1;6;10.5;3;5.3
31008;Anan;8.7;6;14.4;56;21.5;122;46.9;83;31.6;40;15.4;32;12.3
31009;Antichan-de-Frontignes;3.8;101.9;7.7;18;9.3;53;28.4;117;62.2;88;47;79;42.2
31010;Antignac;3.3;9.9;13.3;18;20;45;51.1;26;28.9;7;7.8;3;3.3
31011;Arbas;6.4;9.5;17.4;61;22;131;47;87;31;42;15;25;9.1
31012;Arbon;8.6;22.4;12.4;13;13.4;45;47.4;37;39.2;19;19.6;11;11.3
31013;Ardiège;8.3;6.9;14;88;24.3;175;48.3;99;27.4;38;10.4;16;4.3
31014;Arguenos;4.3;2.2;8.1;11;12.8;31;36;45;51.2;16;18.6;9;10.5
31015;Argut-Dessous;0;27.5;0;0;0;12;54.5;10;45.5;5;22.7;2;9.1
31017;Arlos;6.6;8.3;15.7;23;22.5;52;50;28;27.5;9;8.8;7;6.9
31018;Arnaud-Guilhem;5.8;9.4;15;56;24.2;116;50.6;58;25.2;26;11.5;15;6.4
31019;Artigue;5.7;11.4;31.2;11;34.4;16;50;5;15.6;3;9.4;2;6.2
31020;Aspet;5.3;10.6;10.9;179;19.9;433;48.1;289;32;132;14.7;71;7.9
31021;Aspret-Sarrat;11.1;2.5;10.6;24;18.9;74;58.3;29;22.7;13;10.6;10;7.6
31022;Aucamville;14;5.5;18.9;2857;30.6;5086;54.4;1406;15;642;6.9;417;4.5
31023;Aulon;6.9;12.7;11.5;58;18.6;142;45.7;112;35.7;53;17.1;31;10
31024;Auragne;6.8;4.2;21.3;130;28.9;233;51.6;88;19.5;40;8.9;26;5.7
31025;Aureville;9.3;3.1;24.7;322;32.3;532;53.5;141;14.2;60;6;21;2.1
31026;Auriac-sur-Vendinelle;8.3;9.1;18.9;290;27.1;535;50;246;22.9;117;10.9;82;7.7
31027;Auribail;4.1;8.2;15.2;57;29.3;108;55.1;31;15.7;10;5.1;8;4
31028;Aurignac;8.3;12;15.9;375;30.2;573;46.1;294;23.7;161;12.9;112;9
31029;Aurin;16.2;6.1;20.9;99;28.8;199;57.9;46;13.3;22;6.5;12;3.4
31030;Ausseing;0;10.8;16.3;29;33.8;46;53.7;11;12.5;2;2.5;2;2.5
31031;Ausson;4;8.3;9.8;101;17.2;272;46;217;36.8;103;17.4;61;10.4
31032;Aussonne;11.3;4.6;22;2515;33.7;3780;50.6;1169;15.7;536;7.2;267;3.6
31033;Auterive;10;10.2;17.9;3003;29.7;4969;49.1;2154;21.3;1087;10.7;692;6.8
31034;Auzas;4.3;8.7;14.2;49;22;120;53.4;55;24.7;21;9.4;8;3.6
31035;Auzeville-Tolosane;7.2;6.2;13.8;1799;42.5;1765;41.7;670;15.8;348;8.2;211;5
31036;Auzielle;8.6;3;18.3;459;28.6;855;53.2;292;18.2;81;5;36;2.2
31037;Avignonet-Lauragais;11;5.3;19.1;503;30.9;862;52.9;263;16.2;115;7;68;4.2
31038;Azas;11.2;4.3;24.1;213;31.6;352;52.3;108;16.1;33;4.9;20;3
31039;Bachas;13.1;6.6;22.1;21;24.4;48;54.7;18;20.9;7;8.1;6;7
31040;Bachos;4.7;28;17.1;9;25.7;18;54.3;7;20;4;11.4;3;8.6
31041;Bagiry;1.6;4.9;11.4;18;16.2;62;57.1;29;26.7;10;9.5;5;4.8
31042;Bagnères-de-Luchon;3.3;19;8;334;15.5;905;42.1;913;42.4;478;22.2;336;15.6
31043;Balesta;3.2;10.6;7.1;30;20.1;67;45.6;51;34.3;29;19.5;16;10.7
31044;Balma;9.8;6.3;17.4;5258;30.2;8564;49.3;3564;20.5;1763;10.1;1087;6.3
31045;Barbazan;6;51.8;12.7;111;22;230;45.7;162;32.3;100;19.9;77;15.3
31046;Baren;13.3;0;8.3;2;16.7;6;50;4;33.3;2;16.7;0;0
31047;Bax;7.4;5.6;14.8;19;19.8;48;50.5;29;29.7;10;10.9;3;3
31048;Baziège;13.1;11.8;21.3;1055;30;1868;53;600;17;304;8.6;189;5.4
31049;Bazus;8.4;4.6;18.7;150;25.1;326;54.4;123;20.5;52;8.7;31;5.1
31050;Beauchalot;12.8;41.4;19.9;173;26.7;277;42.9;196;30.3;115;17.8;78;12.1
31051;Beaufort;12.8;3.4;25.1;165;34.6;262;55;50;10.4;14;3;8;1.6
31052;Beaumont-sur-Lèze;9.5;8;16.5;411;25.4;898;55.4;311;19.2;133;8.2;84;5.2
31053;Beaupuy;6.9;4.5;15.2;294;23.2;648;51.3;322;25.5;117;9.3;52;4.1
31054;Beauteville;13.8;5.5;26.6;59;30.4;106;54.3;30;15.2;13;6.5;8;4.3
31055;Beauville;5.1;3.1;21.4;47;27.4;98;57.1;26;15.5;7;4.2;5;3
31056;Beauzelle;10.9;7.2;21.3;2573;33.6;3850;50.3;1232;16.1;609;8;372;4.9
31057;Belberaud;8.5;17.4;17.1;417;27.2;810;52.7;308;20.1;159;10.4;115;7.5
31058;Belbèze-de-Lauragais;9.7;2.8;14.1;34;26.6;73;57;21;16.4;7;5.5;4;3.1
31059;Belbèze-en-Comminges;4.6;18.3;12.2;22;19.1;55;48.7;36;32.2;23;20;16;13.9
31060;Bélesta-en-Lauragais;6.2;1.5;17.5;31;28.1;67;60.5;13;11.4;5;4.4;2;1.8
31061;Bellegarde-Sainte-Marie;4.2;5;17.3;52;26;113;57;34;17;17;8.4;8;4.2
31062;Bellesserre;4.5;4.5;21.9;38;35.2;56;52.4;13;12.4;12;11.4;11;10.5
31063;Benque;14;11;13.1;40;23.2;86;50;46;26.8;26;14.9;18;10.7
31064;Benque-Dessous-et-Dessus;0;12.5;17.9;5;17.9;12;42.9;11;39.3;6;21.4;4;14.3
31065;Bérat;10.4;4.8;23;1005;32.7;1642;53.5;424;13.8;168;5.5;83;2.7
31066;Bessières;12;17.5;20.6;1250;29.8;2068;49.3;880;21;485;11.6;359;8.5
31067;Bezins-Garraux;0;4;4.3;6;13;22;50;16;37;4;8.7;2;4.3
31068;Billière;6.5;32.7;18.5;7;22.2;13;40.7;11;37;9;29.6;8;25.9
31069;Blagnac;12.6;6.7;17.2;8122;30.7;14099;53.3;4245;16;2156;8.1;1429;5.4
31070;Blajan;2.7;11;15.2;93;21.1;202;46.1;144;32.8;74;17;50;11.3
31071;Bois-de-la-Pierre;8;3.4;16;114;25.2;281;62;58;12.8;31;6.8;21;4.7
31072;Boissède;2.4;18.8;8.8;8;11.8;35;51.5;25;36.8;13;19.1;11;16.2
31073;Bondigoux;8.5;4.1;16.3;172;23.5;405;55.3;155;21.2;69;9.4;44;6
31074;Bonrepos-Riquet;8.7;3.5;21.4;75;25.9;153;52.6;63;21.5;20;6.9;14;4.9
31075;Bonrepos-sur-Aussonnelle;14.1;2;26.1;437;34.9;679;54.2;136;10.8;42;3.4;21;1.6
31076;Bordes-de-Rivière;5.2;4.5;14.2;110;23.6;262;56.2;94;20.1;50;10.8;37;7.9
31077;Le Born;8.9;9.5;24.4;204;32;348;54.7;85;13.3;27;4.2;22;3.4
31078;Boudrac;8.1;10.5;17;34;22.4;60;40.1;56;37.4;22;15;16;10.9
31079;Bouloc;11;4.4;20.9;1473;31.4;2450;52.2;769;16.4;337;7.2;163;3.5
31080;Boulogne-sur-Gesse;4.8;22.5;12;347;21;669;40.4;640;38.7;378;22.8;281;17
31081;Bourg-d'Oueil;0;0;0;2;15.4;7;69.2;2;15.4;1;7.7;0;0
31082;Bourg-Saint-Bernard;13.1;5.1;20.9;312;28.1;622;56.1;176;15.9;72;6.5;48;4.3
31083;Boussan;4.8;13.8;14.1;47;20;109;46.9;77;33.1;28;12.2;16;7
31084;Boussens;6.8;7.9;18;302;27.9;532;49.2;247;22.9;103;9.6;63;5.8
31085;Boutx;6.8;6.8;13.6;52;20.5;120;46.9;83;32.6;29;11.5;18;7.2
31086;Bouzin;5.5;3.7;11.4;20;23.9;45;54.5;18;21.6;11;13.6;5;5.7
31087;Bragayrac;12;6.2;18.4;86;27.1;175;54.8;58;18.1;27;8.6;14;4.3
31088;Brax;9.5;4.9;20.1;881;30.5;1564;54.2;440;15.2;190;6.6;117;4.1
31089;Bretx;11.1;4.6;25.2;230;34.3;347;51.7;94;14;27;4;12;1.8
31090;Brignemont;5.7;10.9;18.1;90;24.6;193;52.6;84;22.8;43;11.8;27;7.4
31091;Bruguières;12;8.2;19.5;1731;29;3155;53;1072;18;493;8.3;296;5
31092;Burgalays;8.1;16.3;13.4;25;21;55;46.2;39;32.8;18;15.1;13;10.9
31093;Le Burgaud;11.9;5.3;23;307;32.7;498;53;134;14.3;57;6.1;38;4.1
31094;Buzet-sur-Tarn;11;4.1;23;909;31.9;1546;54.2;395;13.9;166;5.8;97;3.4
31095;Cabanac-Cazaux;5.1;5.1;14.6;27;20.8;70;54.6;32;24.6;11;8.5;4;3.1
31096;Cabanac-Séguenville;10.9;6.9;18.6;46;25.4;89;49.7;44;24.9;16;9;10;5.6
31097;Le Cabanial;7.2;42.8;14.2;104;22.4;230;49.7;130;28;81;17.4;69;14.8
31098;Cadours;11.2;21.7;18.8;314;28;541;48.4;264;23.6;149;13.3;113;10.1
31099;Caignac;16.2;6.4;26.9;144;34.3;229;54.4;48;11.3;17;4;12;2.8
31100;Calmont;9.8;16.3;17.9;635;26.5;1240;51.8;518;21.7;277;11.6;200;8.4
31101;Cambernard;9.2;6.3;16.7;125;26;260;54.2;95;19.7;34;7.2;18;3.7
31102;Cambiac;10.6;14.3;17.3;58;25;129;55.9;44;19.1;19;8.2;10;4.5
31103;Canens;14.6;5.8;12.7;10;15.9;37;61.9;13;22.2;10;15.9;8;12.7
31104;Capens;9.2;4.2;23.3;228;34.3;361;54.4;75;11.3;43;6.5;27;4.1
31105;Caragoudes;5.9;7.4;19;63;26.8;128;54.5;44;18.6;9;3.9;7;3
31106;Caraman;9.9;9.5;17.8;720;28.7;1292;51.6;494;19.7;210;8.4;129;5.1
31107;Carbonne;7.9;11.4;17.2;1597;27.8;2824;49.2;1316;22.9;641;11.2;380;6.6
31108;Cardeilhac;5;12;12.9;49;18.7;128;48.9;85;32.4;36;13.9;19;7.3
31109;Cassagnabère-Tournas;7.2;11.2;17.7;111;23.8;207;44.3;149;31.9;64;13.7;41;8.8
31110;Cassagne;9.9;10.5;12.9;132;20.3;329;50.9;186;28.7;102;15.8;59;9.1
31111;Castagnac;9.9;6.1;18.2;82;26.5;170;54.9;57;18.6;22;7;12;4
31112;Castagnède;5.4;12.7;18.6;44;23.8;98;53.5;41;22.7;16;8.7;16;8.7
31113;Castanet-Tolosan;9.9;6.3;17.7;4475;30;7819;52.5;2610;17.5;1148;7.7;674;4.5
31114;Castelbiague;6.7;9.3;16.2;68;28.2;117;48.5;56;23.2;23;9.5;18;7.5
31115;Castelgaillard;0;16.7;13.6;11;18.6;29;50.8;17;30.5;9;15.3;3;5.1
31116;Castelginest;12.1;7;19.1;3181;29.2;5683;52.3;2012;18.5;951;8.7;599;5.5
31117;Castelmaurou;9.1;8.6;18.3;1226;27.6;2247;50.5;974;21.9;441;9.9;288;6.5
31118;Castelnau-d'Estrétefonds;13;5.9;22.3;2277;33.4;3766;55.3;771;11.3;359;5.3;228;3.4
31119;Castelnau-Picampeau;6.1;7.7;16.8;49;22.4;119;54.7;50;23;20;9.4;11;5.1
31120;Le Castéra;10.5;5.2;18.2;221;28.7;423;54.9;127;16.5;48;6.2;28;3.6
31121;Castéra-Vignoles;2.7;10.8;11.1;11;19;29;49.2;19;31.7;13;22.2;5;7.9
31122;Casties-Labrande;4.5;4.5;8.4;18;17.9;52;51.6;31;30.5;16;15.8;5;5.3
31123;Castillon-de-Larboust;20.2;0;13.9;18;22.2;48;61.1;13;16.7;2;2.8;1;1.4
31124;Castillon-de-Saint-Martory;10;6.5;19.7;107;26.8;211;53.1;80;20.1;27;6.9;14;3.4
31125;Cathervielle;0;13.3;8.6;7;20;12;31.4;18;48.6;7;20;5;14.3
31126;Caubiac;15.7;5.9;27.2;153;35.9;229;54;43;10.1;19;4.6;12;2.8
31127;Caubous;41.7;0;25;1;25;3;75;0;0;0;0;0;0
31128;Caujac;12.6;4.1;22.5;284;32.7;467;53.9;115;13.3;48;5.5;29;3.3
31129;Cazarilh-Laspènes;0;8;5.9;2;17.6;6;41.2;6;41.2;4;29.4;4;29.4
