"votants","prop_25","prop_25_64","prop_65","taux_nat","taux_mort","part_non_peu_diplomes","part_bepc_brevet","part_cap_bep","part_bac","proportion_h","proportion_f","taux_activite","part_emplois_salaries","part_agriculteurs","part_emplois_non_salaries","part_artisans","part_commercants","part_chefs_entreprise","part_cadres","part_prof_intermediaires","part_employes","part_ouvriers","part_bac2","part_bac3_4","part_bac5_plus","score_orientation","non_exp_prop_votants","nb_non_scolarises_prop_votants","niveau_vie_total_prop_votants","nb_menages_prop_votants","nb_emplois_lt_prop_votants","nb_menages_pauvres_prop_nb_menages","nb_menages_seul_prop_nb_menages","nb_menages_5plus_prop_nb_menages","nb_menages_proprietaires_prop_nb_menages","nb_menages_monoparentaux_prop_nb_menages","surface_totale_logements_prop_nb_menages","nb_logements_collectifs_prop_nb_menages","nb_logements_maisons_prop_nb_menages","nb_log_avant_1945_prop_nb_menages","nb_log_1945_1969_prop_nb_menages","nb_log_1970_1989_prop_nb_menages","nb_log_apres_1990_prop_nb_menages","nb_log_date_inconnue_prop_nb_menages","nb_logements_sociaux_prop_nb_menages"
270,28.9,59.3,11.8,15.3,6.2,36.8,4.6,31.5,13.9,0.529,0.471,72.6,87.5,4.5,12.5,9.1,0,16.7,13.9,55.9,56.3,89.6,NA,NA,NA,0.46,0.00740740740740741,1.12962962962963,NA,NA,0.303703703703704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
265,25,51.7,23.3,10.7,8.3,18.1,4.6,32.3,20.8,0.523,0.477,82.5,57.6,5.8,42.4,11.5,5.7,24.6,29.1,23.3,96.8,54.2,13.6,7,3.6,0.66,0.0188679245283019,1.10364683301343,31697.0633584906,0.647362264150943,0.142034548944338,0.0675367674918829,0.30437012899954,0.0318564158763283,0.837593485319235,0.0552955097900916,110.603832096578,0,1,0.365908680217545,0.0526082622660317,0.24250514424282,0.33897208410327,0,0
60,23.1,37.2,39.7,2,15.8,22.2,6.3,23.8,17.5,0.514,0.486,73,27.4,50,72.6,0,0,0,50,0,100,50,12.7,7.9,9.5,0.57,0.0333333333333333,1.2,22257.1939333333,0.5266,0.183333333333333,0.126408406127358,0.372958602354728,0.0767185719711356,0.903880238004811,0.0822888973287758,139.21961640714,0,1,0.732656032409166,0,0.0603873908089632,0.206988226357767,0,0
816,33.6,50.3,16.1,10.9,7.2,12.6,4.1,18.4,17.5,0.485,0.515,77,84.4,0.3,15.6,6.1,29.4,20.8,28.5,14.9,89.4,65,13.5,12.7,21.1,0.54,0.0110294117647059,0.942602671944582,50953.7455098039,0.970718137254902,0.448540326571005,0.131199612173118,0.353470368864773,0.066065652829293,0.263365004178734,0.165451341108387,74.2047554241478,0.739094262636566,0.260905737363434,0.000940530686549527,0.0208191832911252,0.0704211305052607,0.906441814605621,0.00137860336874105,0.272237554064734
879,26.4,47.1,26.5,8.6,13.8,35.4,4.1,29.9,15.1,0.484,0.516,67.6,85.5,1.9,14.5,9.7,8.5,19.5,27.6,32.7,48.3,88.1,NA,NA,NA,0.47,0.0193401592718999,1.27292696320703,NA,NA,0.778143876990664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
501,31.8,47.8,20.4,11.6,8.8,NA,NA,NA,NA,0.478,0.522,68.1,92,0.2,8,4.3,17.7,30.8,29.7,17.3,87.7,51.5,NA,NA,NA,0.52,0.029940119760479,NA,43687.3284530938,1.23595608782435,1.37731986218146,0.191986938279819,0.469047857445084,0.0411973889479243,0.279920996618293,0.157693463003097,69.4004770563973,0.688409822775325,0.311590177224675,0.138926122471391,0.508336374823567,0.0514490951431977,0.301288407561845,0,0.412403466329896
491,31.1,45.6,23.4,12.3,10.8,32.2,5.2,24,15.4,0.48,0.52,69.2,89.8,0.2,10.2,5.2,29.1,13.7,35.5,16.3,84.8,55,9,7.6,6.6,0.63,0.0122199592668024,1.9224098585121,55471.0549714868,1.64039511201629,1.27174806024646,0.49233580901725,0.367603056240487,0.118292746519268,0.0248785127024685,0.206065301439969,66.0761030698977,0.964822691865504,0.0351773081344964,0.00417290553912549,0.0114708343576258,0.974737843200064,0.00961841690318511,0,0.960313321761932
739,34.3,50.8,14.9,10.8,4.4,9.9,4.5,10.2,15.5,0.506,0.494,70.2,92.1,0,7.9,3.5,48.5,24.3,19.1,4.6,21.7,93.6,NA,NA,NA,0.48,0.006765899864682,1.04922060969055,NA,NA,0.745680718728403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
150,26.8,54.4,18.8,17.6,3.8,NA,NA,NA,NA,0.546,0.454,82,77.6,12.6,22.4,6.3,12.1,0,50.4,18.6,97.3,56.8,NA,NA,NA,0.62,0.0133333333333333,NA,38262.22956,0.745326666666667,0.426666666666667,0.108605622590542,0.273508707591302,0.0530863424538681,0.731849122085171,0.072961296612671,103.506051038024,0.161557795686902,0.838442204313097,0.439485147452124,0.11860571203678,0.166611508153025,0.275297632358071,0,0
194,16.9,51.7,31.4,4.8,15.1,27.4,9.5,24,16.2,0.487,0.513,69.8,40.9,0,59.1,0,33.3,33.3,33.3,0,58.3,92.6,NA,NA,NA,0.33,0,0.907216494845361,NA,NA,0.0876288659793814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
815,35,50.9,14.1,13.7,6.8,NA,NA,NA,NA,0.492,0.508,71.6,89.9,0.1,10.1,4.9,26.5,30.8,26.3,11.4,90.7,58.5,NA,NA,NA,0.47,0.0233128834355828,NA,37670.7819398773,0.682476073619632,1.1962962962963,0.0993351527638444,0.297385197890036,0.0921670999500196,0.410373270911765,0.111325056003222,79.9646433592584,0.46743363213704,0.53256636786296,0.00922839606053742,0.0186275884635161,0.160242926334639,0.811901089141308,0,0.327346472066708
667,28.7,52.7,18.5,11.8,7.6,30.5,6.1,24.1,16.1,0.498,0.502,71.1,91,0.3,9,5.2,13.4,29.9,30.1,21,47,88.3,NA,NA,NA,0.42,0.0119940029985007,1.29778002747849,NA,NA,0.719140935714802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,29.5,57.4,13.1,13.1,9.8,NA,NA,NA,NA,0.488,0.512,90.7,33,49.4,67,0,0,0,0,50.6,96.2,88.9,NA,NA,NA,0.66,0.0222222222222222,NA,41152.4244444444,0.537777777777778,0.266666666666667,0.00413223140495868,0.111570247933884,0.00413223140495868,0.776859504132231,0.0785123966942149,128.595041322314,0,1,0.619834710743802,0,0.15702479338843,0.223140495867769,0,0
503,27,53.9,19.2,6.6,8.2,25.7,4.2,32.3,16.4,0.488,0.512,75,61.3,13.2,38.7,6.6,15.2,3.3,19.8,42,91.8,60.4,10.7,7.5,3.2,0.68,0.0357852882703777,1.19085487077535,36641.8799562624,0.681667992047714,0.332007952286282,0.115308899057685,0.237964413101998,0.0450479615257861,0.845584010685985,0.0909387859857267,114.317190612432,0.0198728997693064,0.980127100230694,0.314145806538166,0.0644950551069036,0.24034426138667,0.37809839622724,0.00291648074101943,0
684,31.8,51.8,16.3,14.2,7.2,22.2,5.4,25.4,16.9,0.492,0.508,75.9,87.9,0.1,12.1,6.7,29.1,19,23.4,21.8,89.7,60.5,11.1,9.7,9.3,0.47,0.0233918128654971,1.40002414875634,49096.4837982456,1.10023245614035,0.926467036947597,0.158950992546764,0.390144825854186,0.0636587961874086,0.332736702371508,0.167087231698777,69.3616513788288,0.8813594681613,0.1186405318387,0.119669022628126,0.0321728927565812,0.00456442617788107,0.832961933881596,0.010630395756346,0.30596670825809
113,15.2,41.7,43,4.2,10.5,31.3,7.6,20.6,18.3,0.595,0.405,78.4,36.9,36,63.1,18,0,9.2,0,36.8,96.8,71.9,7.6,6.9,7.6,0.6,0.0176991150442478,1.20353982300885,28968.3282831858,0.652477876106195,0.336283185840708,0.199633798996338,0.424657534246575,0.0377865183778652,0.860409602604096,0.0559202495592025,126.984768750848,0.0277363352773634,0.972263664722637,0.660721551607216,0.0461684524616845,0.150006781500068,0.143116777431168,0,0
179,32.5,55.8,11.7,14.5,10,21.1,3.6,29.6,20.9,0.485,0.515,81,23.4,60.1,76.6,0,39.9,0,0,0,97.8,40,14.3,7.7,2.8,0.62,0.0223463687150838,1.28491620111732,41198.9977150838,0.78313407821229,0.11731843575419,0.0935647484323838,0.274552186102254,0.0675626511438783,0.740064630727417,0.0882002553841105,104.698710952269,0.0204093279403057,0.979590672059694,0.653726253914582,0.0836917984605617,0.0735691712856949,0.189012776339161,0,0
118,26.7,55.6,17.6,9.7,8.9,19.2,2.1,40.4,15.1,0.492,0.508,77.9,45.5,0,54.5,0,0,0,100,0,95.2,40,11.6,7.5,4.1,0.69,0.00847457627118644,0.915254237288136,35173.5821525424,0.631118644067797,0.0932203389830508,0.0993662047480933,0.199054678268342,0.0537114620259964,0.78448275862069,0.0919674508540123,108.768758728113,0,1,0.580056934149748,0.0402835965194973,0.203432162423461,0.176227306907294,0,0.0671393275324954
959,29.6,53.6,16.8,12,6.2,29.8,6.1,30.3,17.1,0.492,0.508,72.2,84.4,0.1,15.6,12,10.9,24.5,26,26.6,49.5,88.9,NA,NA,NA,0.64,0.0198123044838373,1.28563955009155,NA,NA,0.581742087365943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
